"Sl. 
No","District","Total Positive 
Cases","Discharged","Active 
Cases","Death"
"1","Ariyalur","16926","16643","19","264"
"2","Chengalpattu","173841","170673","634","2534"
"3","Chennai","558148","548357","1180","8611"
"4","Coimbatore","250297","246594","1237","2466"
"5","Cuddalore","64406","63457","77","872"
"6","Dharmapuri","28820","28423","119","278"
"7","Dindigul","33239","32539","49","651"
"8","Erode","106376","104883","797","696"
"9","Kallakurichi","31561","31315","36","210"
"10","Kancheepuram","75618","74154","200","1264"
"11","Kanyakumari","62789","61622","110","1057"
"12","Karur","24635","24086","187","362"
"13","Krishnagiri","43848","43408","87","353"
"14","Madurai","75524","74244","97","1183"
"15","Mayiladuthurai","23375","23027","30","318"
"16","Nagapattinam","21340","20892","91","357"
"17","Namakkal","53534","52544","484","506"
"18","Nilgiris","34108","33708","186","214"
"19","Perambalur","12105","11848","12","245"
"20","Pudukottai","30330","29884","28","418"
"21","Ramanathapuram","20633","20247","27","359"
"22","Ranipet","43561","42751","35","775"
"23","Salem","101392","99187","499","1706"
"24","Sivagangai","20397","20135","52","210"
"25","Tenkasi","27394","26898","10","486"
"26","Thanjavur","76115","74900","219","996"
"27","Theni","43606","43073","12","521"
"28","Thirupathur","29394","28742","25","627"
"29","Thiruvallur","120231","118095","286","1850"
"30","Thiruvannamalai","55192","54469","53","670"
"31","Thiruvarur","41873","41321","94","458"
"32","Thoothukudi","56496","56051","35","410"
"33","Tirunelveli","49661","49131","97","433"
"34","Tiruppur","97230","95621","609","1000"
"35","Trichy","78466","77128","254","1084"
"36","Vellore","50210","48911","158","1141"
"37","Villupuram","46023","45617","49","357"
"38","Virudhunagar","46397","45825","24","548"
"39","Airport Surveillance 
(International)","1031","1028","2","1"
"40","Airport Surveillance 
(Domestic)","1085","1084","0","1"
"41","Railway Surveillance","428","428","0","0"
"Grand Total","","27,27,635","26,82,943","8,200","36,492"
