"Sr 
No","Name of District","Positive Cases Today","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged 
Cases","Recovery Rate (%)","No. of Deaths","No of Active Cases","COVID-19, Vaccination Status  
(NHM, Haryana)","",""
"","","","","","","","","Coverage of 
Vaccination on   
07-11-2021","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd",""
"1","Gurugram","8","181474","180501[12]","99.46","922","51","1080","4527","3600268"
"2","Faridabad","2","99910","99180[5]","99.27","716","14","1562","4694","2519997"
"3","Hisar","0","53995","52859","97.90","1136","0","239","1240","1334823"
"4","Sonepat","0","47138","46884","99.46","254","0","462","1327","1414127"
"5","Karnal","0","40038","39484","98.62","552","2","62","349","1460695"
"6","Panipat","0","31150","30511","97.95","638","1","506","1596","1114470"
"7","Panchkula","0","30775","30388","98.74","379","8","29","244","741489"
"8","Ambala","0","30150","29641","98.31","509","0","59","480","1454702"
"9","Sirsa","0","29282","28774","98.27","508","0","144","193","1070000"
"10","Rohtak","6","25910","25352[1]","97.85","534","7","1035","2401","994900"
"11","Yamunanagar","2","24635","24217","98.30","414","4","92","621","1177036"
"12","Bhiwani","0","22409","21757","97.09","652","0","504","4524","1079330"
"13","Kurukshetra","0","22148","21791","98.39","357","0","43","208","862238"
"14","Mahindergarh","0","21689","21534","99.29","155","0","239","690","848994"
"15","Jind","0","21209","20676","97.49","533","0","1051","2442","971952"
"16","Rewari","0","20328","20106","98.91","221","1","270","1262","949500"
"17","Jhajjar","0","18849","18515","98.23","328","0","429","1340","991468"
"18","Fatehabad","0","17875","17394","97.31","481","0","324","1258","780665"
"19","Kaithal","0","11244","10898","96.92","346","0","47","232","838816"
"20","Palwal","0","11026","10872","98.60","153","1","748","1753","838827"
"21","Charkhi Dadri","0","5078","4939","97.26","139","0","2","205","633430"
"22","Nuh","0","5014","4891","97.55","123","0","83","93","440720"
"Total","","18","771326","761164[18]","98.68","10050","89","9010","31679","26118447"
