"Sr 
No","Name of District","Positive Cases Today","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged 
Cases","Recovery Rate (%)","No. of Deaths","No of Active Cases","COVID-19, Vaccination Status  
(NHM, Haryana)","",""
"","","","","","","","","Coverage of 
Vaccination on 
28-12-2021","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd",""
"1","Gurugram","76","182365","181061[15]","99.28","926","378","5535","12842","4218774"
"2","Faridabad","22","100096","99307[7]","99.21","717","72","4874","13681","3071496"
"3","Hisar","1","54006","52865","97.89","1137","4","10442","22673","1761591"
"4","Sonepat","1","47151","46892","99.45","254","5","5554","12109","1747132"
"5","Karnal","4","40081","39508[6]","98.57","554","19","7404","17338","1834213"
"6","Panipat","2","31169","30518","97.91","638","13","7358","15712","1520564"
"7","Panchkula","6","30950","30514[2]","98.59","381","55","1807","4664","873031"
"8","Ambala","12","30195","29646","98.18","509","40","2738","4883","1780857"
"9","Sirsa","0","29306","28793[2]","98.25","509","4","10278","19159","1531283"
"10","Rohtak","0","25926","25372[1]","97.86","534","3","5075","7984","1260476"
"11","Yamunanagar","1","24673","24244","98.26","414","15","2287","11409","1423246"
"12","Bhiwani","0","22413","21759","97.08","652","2","2770","7932","1428432"
"13","Kurukshetra","1","22173","21805","98.34","358[1]","10","4041","10783","1109853"
"14","Mahindergarh","0","21689","21534","99.29","155","0","2963","8256","1077289"
"15","Jind","0","21210","20677","97.49","533","0","6491","10359","1302227"
"16","Rewari","0","20330","20109","98.91","221","0","2952","8411","1252479"
"17","Jhajjar","0","18855","18517[1]","98.21","328","4","3531","9342","1233991"
"18","Fatehabad","0","17880","17398","97.30","482","0","3036","10143","949884"
"19","Kaithal","0","11252","10904","96.91","346","2","11347","15276","1302191"
"20","Palwal","0","11031","10877","98.60","153","1","2483","7677","1136392"
"21","Charkhi Dadri","0","5079","4940","97.26","139","0","887","1393","709097"
"22","Nuh","0","5014","4891","97.55","123","0","2093","6884","839878"
"Haryana","","126","772844","762131[34]","98.61","10063[1]","627","105946","238910","33364376"
