"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","2,08,350"
"2","Number of persons tested positive today in Tamil Nadu","24,414"
"","Passengers returned from other countries  by 
International airport tested positive today","Bangladesh – 2 
UAE – 1 
Qatar - 1"
"","Total","24,418"
"3","Total Number of persons tested positive till date","33,03,702"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","1,40,979/ 
6,14,87,264@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","1,31,684/ 
6,04,29,645"
"6","No. of Male / Female / Transgender tested positive today","14,314/10,104/0"
"7","No. of Male / Female / Transgender tested positive till date","19,26,795/13,76,869/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","330 (69 Govt+ 
261$ Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","27,885/ 
30,57,846"
"10","Total number of deaths today/ till date","46(20 Private &  
26 Govt) /37,506"
