"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","2972","113448","2892","110381","37","3016","51"
"2","SAS Nagar","5181","100870","5087","99620","20","1168","82"
"3","Jalandhar","2734","80999","2648","78986","33","1973","40"
"4","Patiala","2065","64145","2018","62401","11","1722","22"
"5","Amritsar","1357","60912","1315","59023","6","1846","43"
"6","Bathinda","1498","52365","1431","50874","3","1426","65"
"7","Hoshiarpur","1261","42370","1198","40930","16","1416","24"
"8","Gurdaspur","340","27267","308","26381","5","869","17"
"9","Pathankot","498","25000","452","24467","4","521","12"
"10","Fazilka","457","23889","448","23251","0","621","17"
"11","Muktsar","263","22815","255","22265","3","542","8"
"12","Kapurthala","538","22567","513","21954","7","599","14"
"13","Ropar","1088","19026","1052","18535","4","459","32"
"14","Ferozepur","458","18351","440","17800","3","540","11"
"15","Mansa","188","17413","183","17019","1","393","1"
"16","Faridkot","377","17213","374","16795","3","414","4"
"17","Sangrur","275","14709","262","13835","9","869","5"
"18","SBS Nagar","446","13848","438","13426","0","409","13"
"19","FG Sahib","687","12602","670","12150","1","437","15"
"20","Moga","237","11236","226","10957","4","270","9"
"21","Tarn Taran","144","11044","123","10628","1","399","17"
"22","Barnala","207","7707","201","7339","5","362","6"
"23","Malerkotla","60","4063","58","3849","3","214","0"
"","Total","23331","783859","22592","762866","179","20485","508"
