"Sr. No.","District/Municipal 
Corporation","COVID-19 cases","Recovered 
patients","Deaths","Active cases"
"18","Jalna","66891","65309","1224","358"
"19","Beed","109338","106428","2885","25"
"20","Latur","105327","102691","2489","147"
"21","Parbhani","58634","57339","1279","16"
"22","Hingoli","22255","21707","514","34"
"23","Nanded","102839","100106","2704","29"
"24","Osmanabad","75516","73235","2139","142"
"25","Amravati","106238","104498","1625","115"
"26","Akola","66551","64951","1471","129"
"27","Washim","46469","45524","641","304"
"28","Buldhana","92345","91340","836","169"
"29","Yavatmal","82216","80324","1820","72"
"30","Nagpur","579185","569048","9215","922"
"31","Wardha","65854","64398","1408","48"
"32","Bhandara","68296","67038","1142","116"
"33","Gondia","45505","44912","587","6"
"34","Chandrapur","99123","97456","1592","75"
"35","Gadchiroli","37143","36374","728","41"
"","Other states/country","144","31","113","0"
"","Total","8010223","7845300","148001","16922"
