"Districts","No. of Positive 
Cases Since 
01.01.2022","No. of Positive Cases 
Treated/ Cured Since 
01.01.2022","Active Cases in the 
District","Deaths Since 
01.01.2022","Migrated Positive 
Cases Since 
01.01.2022"
"Almora","4623","4173","43","4","403"
"Bageshwar","2101","2003","2","0","96"
"Chamoli","3249","3130","7","3","109"
"Champawat","1927","1895","11","1","20"
"Dehradun","35362","34062","727","181","392"
"Haridwar","13458","13145","50","27","236"
"Nainital","11834","11552","198","29","55"
"Pauri Garhwal","5330","4328","12","19","971"
"Pithoragarh","2591","2433","14","4","140"
"Rudraprayag","2735","2587","15","2","131"
"Tehri Garhwal","2473","2043","15","7","408"
"U.S. Nagar","8968","8608","58","5","297"
"Uttarkashi","1763","1552","28","5","178"
"Total","96414","91511","1180","287","3436"
