"","","","","","","","","",""
"","","","","","","","","",""
"Districtwise Abstract of COVID-19","","","","","","","","",""
"Sl. 
No","District Name","Today’s 
Positives","Total 
Positives","Today’s 
Discharges","Total 
Discharges","Total 
Active 
Cases","Today’s 
Reported 
Covid 
Deaths","Total 
Covid 
Deaths","Death 
due to 
 Non-
Covid 
reasons#"
"1","Bagalakote","331","36258","86","35357","563","0","338","0"
"2","Ballari","904","105569","802","98106","5773","1","1690","0"
"3","Belagavi","885","85802","218","80362","4486","0","954","0"
"4","Bengaluru Rural","925","71498","844","63982","6620","0","896","0"
"5","Bengaluru Urban","26299","1585657","12787","1337325","231833","8","16498","1"
"6","Bidar","368","26953","124","24900","1643","0","406","4"
"7","Chamarajanagara","664","36507","83","33408","2581","1","507","11"
"8","Chikkaballapura","552","49561","2","44521","4601","1","438","1"
"9","Chikkamagaluru","144","54358","132","51976","1984","0","398","0"
"10","Chitradurga","246","40310","94","37168","2928","0","214","0"
"11","Dakshina 
Kannada","770","127724","841","120376","5628","1","1713","7"
"12","Davanagere","495","54088","293","51497","1982","0","609","0"
"13","Dharwada","955","69500","415","64058","4111","0","1329","2"
"14","Gadag","274","28163","87","26283","1558","1","322","0"
"15","Hassana","1922","129748","1452","117213","11264","0","1269","2"
"16","Haveri","165","22730","31","21535","550","0","645","0"
"17","Kalaburagi","853","69506","489","63241","5430","0","835","0"
"18","Kodagu","1139","41230","164","38362","2528","0","339","1"
"19","Kolara","824","54677","449","49582","4451","0","644","0"
"20","Koppala","510","37202","16","35032","1642","0","528","0"
"21","Mandya","1455","87423","520","79051","7711","0","661","0"
"22","Mysuru","4359","203030","437","184131","16447","1","2452","0"
"23","Raichuru","410","42520","123","40311","1873","1","336","0"
"24","Ramanagara","199","27239","306","24998","1913","0","328","0"
"25","Shivamogga","611","74639","178","69839","3704","2","1095","1"
"26","Tumakuru","1963","140592","769","126531","12907","2","1154","0"
"27","Udupi","947","86628","503","79587","6546","0","495","0"
"28","Uttara Kannada","641","62176","465","58672","2722","0","782","0"
"29","Vijayapura","249","38108","97","36375","1235","0","498","0"
"30","Yadagiri","151","28250","35","27462","582","0","206","0"
"31","Others*","0","36","0","33","0","0","3","0"
"Total","","50210","3517682","22842","3121274","357796","19","38582","30"
"*Others include Cases of other States and International Quarantined Passengers. 
#Cumulative total of Non COVID deaths reported till today. 
 
 
Date: 23-01-2022 
 Page 5 of 49","","","","","","","","",""
