"Total No. of Sample Taken Today","11836"
"Total No. of Positive Cases Detected Today","458"
"Total Active COVID-19 Patients","2564"
"Total No. of Active Cases under Home Isolation (24-07-2022)","2461"
"Total No. of Samples found Positive till date","1025722"
"Total Positive COVID-19 Patients Recovered / Discharged till date","1012501"
"No. of Deaths","10634"
"Total No. of People Vaccinated Today","6224 
(1st Dose: 425 
2nd Dose: 1629 
Precaution Dose: 4170)"
"Cumulative Coverage of COVID-19 Vaccination - 1st Dose  
(Achieved 100% for 18yrs above population)","23611290 (100%)"
"Cumulative Coverage of COVID-19 Vaccination - 2nd Dose 
(Achieved 87% for 15yrs above population)","19614527 (87%)"
"Cumulative Coverage of COVID-19 Vaccination - Precaution Dose","1350078"
"Cumulative Coverage of Total COVID-19 Vaccination","44575895"
"COVID-19 Today (24-07-2022) Positivity Rate","3.68%"
"Recovery Rate","98.71%"
"Fatality Rate","1.04%"
