,S.No,District,Tested,Confirmed,Deceased,Recovered,cumulativeConfirmedNumberForState,cumulativeRecoveredNumberForState,cumulativeDeceasedNumberForState,cumulativeTestedNumberForState
0,1.0,Ajmer,807236,50450,451,49797,1298394,1284662,9590,20259613
1,2.0,Alwar,1645221,85714,321,84929,1298394,1284662,9590,20259613
2,3.0,Banswara,325337,14867,106,14702,1298394,1284662,9590,20259613
3,4.0,Baran,246264,15337,65,15265,1298394,1284662,9590,20259613
4,5.0,Barmer,408329,21527,205,21303,1298394,1284662,9590,20259613
5,6.0,Bharatpur,479100,31549,274,31184,1298394,1284662,9590,20259613
6,7.0,Bhilwara,512969,38534,162,38298,1298394,1284662,9590,20259613
7,8.0,Bikaner,775100,50856,594,50212,1298394,1284662,9590,20259613
8,9.0,Bundi,238033,9721,55,9660,1298394,1284662,9590,20259613
9,10.0,Chittorgarh,458252,29658,140,29373,1298394,1284662,9590,20259613
10,11.0,Churu,439778,21022,115,20884,1298394,1284662,9590,20259613
11,12.0,Dausa,304043,16225,82,15943,1298394,1284662,9590,20259613
12,13.0,Dholpur,292167,14008,49,13926,1298394,1284662,9590,20259613
13,14.0,Dungarpur,331663,25639,134,25418,1298394,1284662,9590,20259613
14,15.0,Ganganagar,423917,28201,160,28035,1298394,1284662,9590,20259613
15,16.0,Hanumangarh,490622,22557,115,22431,1298394,1284662,9590,20259613
16,17.0,Jaipur,3522017,280173,2116,276657,1298394,1284662,9590,20259613
17,18.0,Jaisalmer,244667,17176,68,17032,1298394,1284662,9590,20259613
18,19.0,Jalore,452597,10703,78,10571,1298394,1284662,9590,20259613
19,20.0,Jhalawar,425523,17860,209,17607,1298394,1284662,9590,20259613
20,21.0,Jhunjhunu,496495,19162,181,18980,1298394,1284662,9590,20259613
21,22.0,Jodhpur,1448194,142720,1164,141323,1298394,1284662,9590,20259613
22,23.0,Karauli,247469,8971,85,8886,1298394,1284662,9590,20259613
23,24.0,Kota,1146738,70278,478,69701,1298394,1284662,9590,20259613
24,25.0,Nagaur,658989,23992,201,23688,1298394,1284662,9590,20259613
25,26.0,Pali,465685,35871,299,35557,1298394,1284662,9590,20259613
26,27.0,Pratapgarh,280160,11959,65,11853,1298394,1284662,9590,20259613
27,28.0,Rajsamand,304878,23292,178,22976,1298394,1284662,9590,20259613
28,29.0,Sawai Madhopur,280646,15844,66,15764,1298394,1284662,9590,20259613
29,30.0,Sikar,514271,38206,368,37801,1298394,1284662,9590,20259613
30,31.0,Sirohi,326403,17531,89,17319,1298394,1284662,9590,20259613
31,32.0,Tonk,335551,13343,103,13228,1298394,1284662,9590,20259613
32,33.0,Udaipur,925287,75111,775,74061,1298394,1284662,9590,20259613
33,,Other state/,6012,337,39,298,1298394,1284662,9590,20259613
