,S.No,District,Confirmed,Deceased,Recovered,Date,cumulativeConfirmedNumberForState,cumulativeRecoveredNumberForState,cumulativeDeceasedNumberForState
0,1.0,Ajmer,50450,451,49797,2022-08-08,1298057,1284364,9551
1,2.0,Alwar,85714,321,84929,2022-08-08,1298057,1284364,9551
2,3.0,Banswara,14867,106,14702,2022-08-08,1298057,1284364,9551
3,4.0,Baran,15337,65,15265,2022-08-08,1298057,1284364,9551
4,5.0,Barmer,21527,205,21303,2022-08-08,1298057,1284364,9551
5,6.0,Bharatpur,31549,274,31184,2022-08-08,1298057,1284364,9551
6,7.0,Bhilwara,38534,162,38298,2022-08-08,1298057,1284364,9551
7,8.0,Bikaner,50856,594,50212,2022-08-08,1298057,1284364,9551
8,9.0,Bundi,9721,55,9660,2022-08-08,1298057,1284364,9551
9,10.0,Chittorgarh,29658,140,29373,2022-08-08,1298057,1284364,9551
10,11.0,Churu,21022,115,20884,2022-08-08,1298057,1284364,9551
11,12.0,Dausa,16225,82,15943,2022-08-08,1298057,1284364,9551
12,13.0,Dholpur,14008,49,13926,2022-08-08,1298057,1284364,9551
13,14.0,Dungarpur,25639,134,25418,2022-08-08,1298057,1284364,9551
14,15.0,Ganganagar,28201,160,28035,2022-08-08,1298057,1284364,9551
15,16.0,Hanumangarh,22557,115,22431,2022-08-08,1298057,1284364,9551
16,17.0,Jaipur,280173,2116,276657,2022-08-08,1298057,1284364,9551
17,18.0,Jaisalmer,17176,68,17032,2022-08-08,1298057,1284364,9551
18,19.0,Jalore,10703,78,10571,2022-08-08,1298057,1284364,9551
19,20.0,Jhalawar,17860,209,17607,2022-08-08,1298057,1284364,9551
20,21.0,Jhunjhunu,19162,181,18980,2022-08-08,1298057,1284364,9551
21,22.0,Jodhpur,142720,1164,141323,2022-08-08,1298057,1284364,9551
22,23.0,Karauli,8971,85,8886,2022-08-08,1298057,1284364,9551
23,24.0,Kota,70278,478,69701,2022-08-08,1298057,1284364,9551
24,25.0,Nagaur,23992,201,23688,2022-08-08,1298057,1284364,9551
25,26.0,Pali,35871,299,35557,2022-08-08,1298057,1284364,9551
26,27.0,Pratapgarh,11959,65,11853,2022-08-08,1298057,1284364,9551
27,28.0,Rajsamand,23292,178,22976,2022-08-08,1298057,1284364,9551
28,29.0,Sawai Madhopur,15844,66,15764,2022-08-08,1298057,1284364,9551
29,30.0,Sikar,38206,368,37801,2022-08-08,1298057,1284364,9551
30,31.0,Sirohi,17531,89,17319,2022-08-08,1298057,1284364,9551
31,32.0,Tonk,13343,103,13228,2022-08-08,1298057,1284364,9551
32,33.0,Udaipur,75111,775,74061,2022-08-08,1298057,1284364,9551
33,,Other State,0,0,0,2022-08-08,1298057,1284364,9551
