"S. No.","District","Total Confirmed
Cases","Total Active
Cases","Total Cured","Deaths"
"1","Ludhiana","103578","7676","93732","2170"
"2","SAS Nagar","86569","8862","76605","1102"
"3","Jalandhar","73478","4944","67010","1524"
"4","Patiala","60599","2527","56656","1416"
"5","Amritsar","55710","4228","49852","1630"
"6","Bathinda","47889","3144","43684","1061"
"7","Hoshiarpur","36776","3290","32470","1016"
"8","Gurdaspur","25574","1380","23372","822"
"9","Pathankot","23020","1042","21531","447"
"10","Fazilka","21651","1144","19973","534"
"11","Kapurthala","20526","1209","18761","556"
"12","Muktsar","20288","1057","18705","526"
"13","Sangrur","17453","682","15883","888"
"14","Mansa","16699","805","15510","384"
"15","Ropar","16189","1398","14362","429"
"16","Ferozepur","16175","724","14938","513"
"17","Faridkot","15352","879","14149","324"
"18","SBS Nagar","12866","749","11725","392"
"19","FG Sahib","11178","702","10131","345"
"20","Moga","9707","610","8860","237"
"21","Tarn Taran","9699","1132","8184","383"
"22","Barnala","6871","380","6242","249"
"","Total","707847","48564","642335","16948"
