"District Name","New 
Cases","New 
Recoveries","New 
Deaths","Total 
Cases","Total 
Deaths","Total 
Active 
Cases","Number of 
Persons 
Hospitalized"
"East Garo Hills","1","1","0","2060","18","7","0"
"East Jaintia Hills","0","0","0","2629","38","1","0"
"East Khasi Hills","19","10","0","47433","1076","132","42"
"Eastern West Khasi Hills","1","0","0","145","8","3","0"
"North Garo Hills","2","2","0","1892","9","6","0"
"Ri-Bhoi","8","2","0","10441","99","55","0"
"South Garo Hills","2","0","0","1357","13","13","0"
"South West Garo Hills","13","0","1","2126","21","25","0"
"South West Khasi Hills","0","0","0","2701","20","0","0"
"West Garo Hills","47","12","0","11104","81","270","11"
"West Jaintia Hills","1","0","0","7213","139","13","1"
"West Khasi Hills","1","0","0","5662","78","3","0"
"Total","95","27","1","94763","1600","528","54"
