,Unnamed: 0,44,Unnamed: 1,ममर्ापरु,Unnamed: 2,31,Unnamed: 3,0,Unnamed: 4,10974,Unnamed: 5,0.1,Unnamed: 6,116,Unnamed: 7,103,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
0,,45,,औरैय्या,,28.0,,-3.0,,9887.0,,0.0,,204.0,,101.0,,,,,
1,,46,,जौनपरु,,15.0,,0.0,,22350.0,,0.0,,235.0,,98.0,,,,,
2,,47,,गोंडा,,30.0,,1.0,,12017.0,,1.0,,272.0,,95.0,,,,,
3,,48,,अम्बडेकर नगर,,22.0,,0.0,,4888.0,,0.0,,152.0,,91.0,,,,,
4,,49,,आजमगढ़,,21.0,,2.0,,17682.0,,1.0,,229.0,,88.0,,,,,
5,,50,,मसद्धाथ नगर,,31.0,,1.0,,9276.0,,0.0,,100.0,,86.0,,,,,
6,,51,,सलु्तानपरु,,17.0,,0.0,,14781.0,,0.0,,138.0,,77.0,,,,,
7,,52,,एटा,,19.0,,0.0,,9877.0,,0.0,,99.0,,76.0,,,,,
8,,53,,महाराजगजं,,20.0,,2.0,,12331.0,,0.0,,141.0,,74.0,,,,,
9,,54,,लमलतपरु,,16.0,,0.0,,12622.0,,0.0,,128.0,,73.0,,,,,
10,,55,,बमलया,,20.0,,2.0,,21380.0,,0.0,,234.0,,70.0,,,,,
11,,56,,कन्नौज,,4.0,,1.0,,9116.0,,0.0,,115.0,,70.0,,,,,
12,,57,,फर्रखाबाद,,8.0,,0.0,,10158.0,,0.0,,194.0,,64.0,,,,,
13,,58,,पीलीभीत,,11.0,,1.0,,10841.0,,0.0,,193.0,,40.0,,,,,
14,,59,,अमठेी,,11.0,,1.0,,9835.0,,0.0,,143.0,,39.0,,,,,
15,,60,,बलरामपरु,,10.0,,0.0,,7361.0,,0.0,,138.0,,39.0,,,,,
16,,61,,बादा,,13.0,,0.0,,10832.0,,0.0,,161.0,,39.0,,,,,
17,,62,,फतहेपरु,,12.0,,0.0,,6680.0,,0.0,,139.0,,39.0,,,,,
18,,63,,कासगजं,,5.0,,2.0,,4200.0,,0.0,,53.0,,39.0,,,,,
19,,64,,कुशीनगर,,11.0,,1.0,,15391.0,,0.0,,228.0,,38.0,,,,,
20,,65,,प्रतापगढ़,,16.0,,0.0,,15876.0,,0.0,,163.0,,36.0,,,,,
21,,66,,मऊ,,6.0,,0.0,,8253.0,,0.0,,80.0,,35.0,,,,,
22,,67,,कानपरु देहात,,5.0,,0.0,,6090.0,,0.0,,110.0,,34.0,,,,,
23,,68,,भदोही,,2.0,,0.0,,7558.0,,0.0,,163.0,,27.0,,,,,
24,,69,,सतं कबीर नगर,,9.0,,0.0,,8064.0,,0.0,,98.0,,20.0,,,,,
25,,70,,चचत्रकट,,4.0,,0.0,,7031.0,,0.0,,79.0,,16.0,,,,,
26,,71,,हमीरपरु,,4.0,,0.0,,5138.0,,0.0,,102.0,,16.0,,,,,
27,,72,,जालौन,,5.0,,0.0,,11489.0,,0.0,,202.0,,16.0,,,,,
28,,73,,श्रावस्ती,,8.0,,0.0,,4355.0,,0.0,,35.0,,14.0,,,,,
29,,74,,कौशाम्बी,,6.0,,1.0,,4357.0,,0.0,,70.0,,12.0,,,,,
30,,75,,महोबा,,2.0,,0.0,,4182.0,,0.0,,86.0,,11.0,,,,,
31,,Total,,,,,,,11089.0,,543.0,,1689526.0,,5.0,,22937.0,,44466.0,,
32,,कोविड धनात्मक रोवियो ने कुल मृतु्य - 22935 इन रोवियो म मृतु्य का सही कारण मृतु्य ऑवडट के उपरात वनधाररत होिा),,,,,,,,,,,,,,,,,,,
