"Sr. No.","District/Corporation","Cases","","Deaths",""
"","","Daily","Prog.","Daily","Prog."
"1","MCGM","1118","1080943","0","19573"
"2","Thane","29","118422","0","2289"
"3","TMC","167","191880","0","2163"
"4","Navi Mumbai","192","169118","0","2090"
"5","KDMC","32","176633","0","2974"
"6","Ulhasnagar MC","2","26576","0","680"
"7","Bhivandi Nijampur MC","2","13167","0","496"
"8","Mira Bhayandar MC","29","77232","0","1227"
"9","Palghar","6","64752","0","1244"
"10","Vasai Virar MC","27","99590","0","2163"
"11","Raigad","42","138808","1","3464"
