TT|2022-09-08 07:55:09.964395|GetSource|ERR|File Not Found
TT|2022-09-08 09:55:10.294425|GetSource|OK|File Downloaded fromhttps://www.mygov.in/covid-19
TT|2022-09-08 09:55:25.206681|ExtractFromHTML|OK|COMPLETED
TT|2022-09-08 11:55:10.301335|GetSource|OK|File Downloaded fromhttps://www.mygov.in/covid-19
TT|2022-09-08 11:55:24.637851|ExtractFromHTML|OK|COMPLETED
TT|2022-09-08 19:55:10.440541|GetSource|OK|File Downloaded fromhttps://www.mygov.in/covid-19
TT|2022-09-08 19:55:25.540043|ExtractFromHTML|OK|COMPLETED
TT|2022-09-08 20:55:10.221194|GetSource|OK|File Downloaded fromhttps://www.mygov.in/covid-19
TT|2022-09-08 20:55:24.019383|ExtractFromHTML|OK|COMPLETED
TT|2022-09-08 21:55:10.545740|GetSource|OK|File Downloaded fromhttps://www.mygov.in/covid-19
TT|2022-09-08 21:55:30.530590|ExtractFromHTML|OK|COMPLETED
TT|2022-09-08 22:55:09.986198|GetSource|OK|File Downloaded fromhttps://www.mygov.in/covid-19
TT|2022-09-08 22:55:25.740180|ExtractFromHTML|OK|COMPLETED
TT|2022-09-08 23:55:11.569974|GetSource|OK|File Downloaded fromhttps://www.mygov.in/covid-19
TT|2022-09-08 23:55:27.877556|ExtractFromHTML|OK|COMPLETED
TT|2022-09-09 07:55:10.259184|GetSource|OK|File Downloaded fromhttps://www.mygov.in/covid-19
