"Sr 
No","Name of District","Positive Cases Today","No of Active Cases","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged Cases","Recovery Rate (%)","No. of Deaths","COVID-19, Vaccination Status  
(NHM, Haryana)*","","",""
"","","","","","","","","Coverage of Vaccination  
on 13-08-2022","","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd","Precaution 
Dose",""
"1  Gurugram","","441","2154","293595","","290427 [315] ↑  98.92%","1014","100","338","3010","5625181"
"2","Faridabad","85","689","134346","","132916 [112] ↑  98.94%","741","82","239","1416","4150776"
"3  Hisar","","34","173","63344","61993 [32] ↑","97.87%","1178","77","362","198","2411163"
"4","Sonipat","25","99","59269","58894 [10] ↑","99.37%","276","25","85","295","2339446"
"5","Karnal","14","129","49654","48926 [24] ↑","98.53%","599","31","163","702","2445024"
"6","Panchkula","53","258","47639","46963 [20] ↑","98.58%","418","26","91","347","1169482"
"7","Ambala","21","249","42412","41621 [57] ↑","98.13%","542","29","79","470","2194410"
"8","Panipat","8","87","36565","35802 [3] ↑","97.91%","676","44","122","573","2112853"
"9","Sirsa","17","42","33975","33393 [11] ↑","98.29%","540","15","77","222","1973830"
"10  Rohtak","","28","181","32823","32088 [22] ↑","97.76%","537","12","292","655","1793569"
"","11  Yamunanagar","67","190","32095","31448 [82] ↑","97.98%","457","51","229","395","2019164"
"12  Kurukshetra","","12","88","27634","27144 [26] ↑","98.23%","402","6","321","220","1610377"
"13  Bhiwani","","5","91","26949","26193 [8] ↑","97.19%","665","5","60","523","1864752"
"14","Jind","13","131","25148","24475 [29] ↑","97.32%","542","13","303","422","1765576"
"","15  Mahendragarh","8","46","24950","24739","99.15%","165","6","44","226","1432906"
"16  Rewari","","0","17","24824","24583 [7] ↑","99.03%","224","18","41","170","1615109"
"17","Jhajjar","23","75","23866","23433 [6] ↑","98.19%","352","21","58","407","1620815"
"18  Fatehabad","","4","38","20229","19693 [4] ↑","97.35%","498","21","59","302","1207240"
"19  Kaithal","","4","135","15003","14495 [25] ↑","96.61%","373","161","98","797","1857660"
"20  Palwal","","2","30","13596","13395 [4] ↑","98.52%","171","19","44","268","1566765"
"","21  Charkhi Dadri","0","46","7713","7522 [11] ↑","97.52%","145","44","51","517","939500"
"22  Nuh","","0","2","6149","6008","97.71%","139","26","11","22","1226370"
"HARYANA","","864","4950","1041778","","1026151 [808] ↑  98.50%","10654","832","3167","12157","44941968"
