"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","5,066"
"2","Number of persons tested positive today in Tamil Nadu","343"
"","Passengers returned from other states / countries by 
Road tested positive today","Bangladesh – 3 
Assam – 1 
Bihar - 1"
"","Total","348"
"3","Total Number of persons tested positive till date","34,49,721"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","53,474/ 
6,44,51,808@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","53,132/ 
6,32,77,919"
"6","No. of Male / Female / Transgender tested positive today","203/145/0"
"7","No. of Male / Female / Transgender tested positive till date","20,13,479/14,36,204/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","333 (69 Govt+ 
264 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","1,025/ 
34,06,649"
"10","Total number of deaths today/ till date","2(2 Private &  
0 Govt) /38,006"
