"S. No","Subject","Number"
"1","Total Number of people vaccinated on 6th Sep","1,97,059"
"2","First Dose on 6th Sep","1,29,971"
"3","Second Dose on 6th Sep","67,088"
"4","Cumulative Vaccination till 6th Sep","4,32,96,847"
"5","Cumulative Vaccination First Dose","3,10,50,893"
"6","Cumulative Vaccination Second Dose","1,22,45,954"
"7","Number of CVC (Common Vaccination Centres)","2,776"
"8","Cumulative AEFI cases reported","3,652"
"9","Vaccine wastage","-7%"
