"Sr 
No","Name of District","Positive Cases Today","No of Active Cases","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged Cases","Recovery Rate (%)","No. of Deaths","COVID-19, Vaccination Status  
(NHM, Haryana)*","","",""
"","","","","","","","","Coverage of Vaccination  
on 22-10-2022","","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd","Precaution 
Dose",""
"1  Gurugram","","30","108","300753","299616 [18] ↑","99.62%","1029","9","13","26","5711511"
"2","Faridabad","4","39","135679","134899 [5] ↑","99.43%","741","1","8","21","4182551"
"3  Hisar","","1","3","63871","62686 [1] ↑","98.14%","1182","1","5","5","2438683"
"4","Sonipat","0","3","59584","59305 [1] ↑","99.53%","276","0","28","6","2359895"
"5","Karnal","1","9","49911","49302 [6] ↑","98.78%","600","13","26","25","2468841"
"6","Panchkula","4","23","48383","47939","99.08%","421","6","23","22","1178673"
"7","Ambala","0","6","42837","42289","98.72%","542","3","33","27","2209595"
"8","Panipat","0","5","36760","36078","98.14%","677","0","2","2","2130848"
"9","Sirsa","0","1","34216","33669 [1] ↑","98.40%","546","5","11","0","1989977"
"10  Rohtak","","0","6","33193","32633 [3] ↑","98.31%","537","12","36","101","1815696"
"","11  Yamunanagar","0","2","32704","32244 [1] ↑","98.59%","458","1","9","17","2041227"
"12  Kurukshetra","","1","5","27830","27417 [1] ↑","98.52%","408","0","8","38","1628254"
"13  Bhiwani","","0","0","27189","26522 [2] ↑","97.55%","667","0","0","0","1882981"
"14","Jind","0","2","25415","24869 [1] ↑","97.85%","544","0","3","1","1782729"
"","15  Mahendragarh","0","1","25008","24842","99.34%","165","2","29","42","1449944"
"16  Rewari","","0","3","24988","24761","99.09%","224","3","8","7","1629399"
"17","Jhajjar","0","0","24108","23747","98.50%","355","1","13","20","1635531"
"18  Fatehabad","","0","3","20298","19795","97.52%","500","0","0","15","1215702"
"19  Kaithal","","0","1","15208","14831 [2] ↑","97.52%","376","0","6","67","1901522"
"20  Palwal","","0","1","13658","13481","98.70%","176","0","3","3","1578079"
"","21  Charkhi Dadri","0","0","8077","7930","98.18%","147","0","6","92","956633"
"22  Nuh","","0","1","6179","6039","97.73%","139","0","0","0","1227294"
"HARYANA","","41","222","1055849","1044894 [42] ↑","98.96%","10710","57","270","537","45415565"
