,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinatedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinatedNumberForState
0,2021-10-31,IN,Andaman and Nicobar Islands,,,,7651,129,7518,,,2021-10-31 13:23:20.429082,,,,34273300,458186,33655842,608319915,1061440335
1,2021-10-31,IN,Andhra Pradesh,,,,2066065,14369,2047047,,,2021-10-31 13:23:20.429082,,,,34273300,458186,33655842,608319915,1061440335
2,2021-10-31,IN,Arunachal Pradesh,,,,55154,280,54765,,,2021-10-31 13:23:20.429082,,,,34273300,458186,33655842,608319915,1061440335
3,2021-10-31,IN,Assam,,,,610433,5996,600738,,,2021-10-31 13:23:20.429082,,,,34273300,458186,33655842,608319915,1061440335
4,2021-10-31,IN,Bihar,,,,726090,9661,716381,,,2021-10-31 13:23:20.429082,,,,34273300,458186,33655842,608319915,1061440335
5,2021-10-31,IN,Chandigarh,,,,65346,820,64492,,,2021-10-31 13:23:20.429082,,,,34273300,458186,33655842,608319915,1061440335
6,2021-10-31,IN,Chhattisgarh,,,,1006020,13576,992127,,,2021-10-31 13:23:20.429082,,,,34273300,458186,33655842,608319915,1061440335
7,2021-10-31,IN,Dadra and Nagar Haveli and Daman and Diu,,,,10682,4,10672,,,2021-10-31 13:23:20.429082,,,,34273300,458186,33655842,608319915,1061440335
8,2021-10-31,IN,Delhi,,,,1439825,25091,1414385,,,2021-10-31 13:23:20.429082,,,,34273300,458186,33655842,608319915,1061440335
9,2021-10-31,IN,Goa,,,,178085,3364,174339,,,2021-10-31 13:23:20.429082,,,,34273300,458186,33655842,608319915,1061440335
10,2021-10-31,IN,Gujarat,,,,826557,10089,816260,,,2021-10-31 13:23:20.429082,,,,34273300,458186,33655842,608319915,1061440335
11,2021-10-31,IN,Haryana,,,,771241,10049,761058,,,2021-10-31 13:23:20.429082,,,,34273300,458186,33655842,608319915,1061440335
12,2021-10-31,IN,Himachal Pradesh,,,,224021,3753,218212,,,2021-10-31 13:23:20.429082,,,,34273300,458186,33655842,608319915,1061440335
13,2021-10-31,IN,Jammu and Kashmir,,,,332154,4432,326836,,,2021-10-31 13:23:20.429082,,,,34273300,458186,33655842,608319915,1061440335
14,2021-10-31,IN,Jharkhand,,,,348754,5138,343510,,,2021-10-31 13:23:20.429082,,,,34273300,458186,33655842,608319915,1061440335
15,2021-10-31,IN,Karnataka,,,,2988041,38071,2941233,,,2021-10-31 13:23:20.429082,,,,34273300,458186,33655842,608319915,1061440335
16,2021-10-31,IN,Kerala,,,,4961490,31514,4850742,,,2021-10-31 13:23:20.429082,,,,34273300,458186,33655842,608319915,1061440335
17,2021-10-31,IN,Ladakh,,,,20951,208,20678,,,2021-10-31 13:23:20.429082,,,,34273300,458186,33655842,608319915,1061440335
18,2021-10-31,IN,Lakshadweep,,,,10365,51,10314,,,2021-10-31 13:23:20.429082,,,,34273300,458186,33655842,608319915,1061440335
19,2021-10-31,IN,Maharashtra,,,,6609906,140196,6449186,,,2021-10-31 13:23:20.429082,,,,34273300,458186,33655842,608319915,1061440335
20,2021-10-31,IN,Manipur,,,,123668,1920,121040,,,2021-10-31 13:23:20.429082,,,,34273300,458186,33655842,608319915,1061440335
21,2021-10-31,IN,Meghalaya,,,,83605,1449,81695,,,2021-10-31 13:23:20.429082,,,,34273300,458186,33655842,608319915,1061440335
22,2021-10-31,IN,Mizoram,,,,121359,431,114002,,,2021-10-31 13:23:20.429082,,,,34273300,458186,33655842,608319915,1061440335
23,2021-10-31,IN,Madhya Pradesh,,,,792838,10524,782207,,,2021-10-31 13:23:20.429082,,,,34273300,458186,33655842,608319915,1061440335
24,2021-10-31,IN,Nagaland,,,,31831,684,30925,,,2021-10-31 13:23:20.429082,,,,34273300,458186,33655842,608319915,1061440335
25,2021-10-31,IN,Odisha,,,,1040969,8329,1028697,,,2021-10-31 13:23:20.429082,,,,34273300,458186,33655842,608319915,1061440335
26,2021-10-31,IN,Puducherry,,,,127975,1857,125681,,,2021-10-31 13:23:20.429082,,,,34273300,458186,33655842,608319915,1061440335
27,2021-10-31,IN,Punjab,,,,602375,16558,585566,,,2021-10-31 13:23:20.429082,,,,34273300,458186,33655842,608319915,1061440335
28,2021-10-31,IN,Rajasthan,,,,954427,8954,945441,,,2021-10-31 13:23:20.429082,,,,34273300,458186,33655842,608319915,1061440335
29,2021-10-31,IN,Sikkim,,,,31958,395,31380,,,2021-10-31 13:23:20.429082,,,,34273300,458186,33655842,608319915,1061440335
30,2021-10-31,IN,Tamil Nadu,,,,2701614,36097,2653832,,,2021-10-31 13:23:20.429082,,,,34273300,458186,33655842,608319915,1061440335
31,2021-10-31,IN,Telangana,,,,671342,3955,663315,,,2021-10-31 13:23:20.429082,,,,34273300,458186,33655842,608319915,1061440335
32,2021-10-31,IN,Tripura,,,,84471,816,83529,,,2021-10-31 13:23:20.429082,,,,34273300,458186,33655842,608319915,1061440335
33,2021-10-31,IN,Uttar Pradesh,,,,1710152,22900,1687145,,,2021-10-31 13:23:20.429082,,,,34273300,458186,33655842,608319915,1061440335
34,2021-10-31,IN,Uttarakhand,,,,343891,7400,336336,,,2021-10-31 13:23:20.429082,,,,34273300,458186,33655842,608319915,1061440335
35,2021-10-31,IN,West Bengal,,,,1591994,19126,1564558,,,2021-10-31 13:23:20.429082,,,,34273300,458186,33655842,608319915,1061440335
