,District,CumulativeConfirmedforDistrict,CumulativeRecoveredforDistrict,CumulativeDeceasedforDistrict,CumulativeTestedforDistrict,DeltaTestedforDistrict,CumulativeConfirmedforState,CumulativeRecoveredforState,CumulativeDeceasedforState,CumulativeTestedforState,DeltaConfirmedforState,DeltaRecoveredforState,DeltaDeceasedforState,DeltaTestedforState,DeltaConfirmedforDistrict,DeltaRecoveredforDistrict,DeltaDeceasedforDistrict,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,deltaVaccinated1ForState,deltaVaccinated2ForState,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,Date,State/UTCode
0,Andaman and Nicobar Islands,7651,7518,129,596657.0,1260.0,34272705,33648187,458219,608319915.0,12940,14672,445,1257296,0,1,0,733171855,328550271,2662589,4417754,293998,200121,95,1400,2021-10-30,TT
1,Andhra Pradesh,2066065,2047047,14369,29478939.0,35054.0,34272705,33648187,458219,608319915.0,12940,14672,445,1257296,349,535,2,733171855,328550271,2662589,4417754,32955532,20350068,142021,278137,2021-10-30,TT
2,Arunachal Pradesh,55154,54765,280,1185102.0,608.0,34272705,33648187,458219,608319915.0,12940,14672,445,1257296,11,10,0,733171855,328550271,2662589,4417754,771833,534291,403,2336,2021-10-30,TT
3,Assam,610433,600738,5996,24696982.0,39808.0,34272705,33648187,458219,608319915.0,12940,14672,445,1257296,283,371,4,733171855,328550271,2662589,4417754,20152542,8030943,46116,128668,2021-10-30,TT
4,Bihar,726090,716381,9661,50305381.0,225464.0,34272705,33648187,458219,608319915.0,12940,14672,445,1257296,5,2,0,733171855,328550271,2662589,4417754,49753704,18192094,116772,179405,2021-10-30,TT
5,Chandigarh,65346,64492,820,791448.0,1475.0,34272705,33648187,458219,608319915.0,12940,14672,445,1257296,6,2,0,733171855,328550271,2662589,4417754,925824,545699,583,3834,2021-10-30,TT
6,Chhattisgarh,1006020,992127,13576,13697641.0,21003.0,34272705,33648187,458219,608319915.0,12940,14672,445,1257296,35,17,1,733171855,328550271,2662589,4417754,14828285,7301903,51068,76119,2021-10-30,TT
7,Delhi,1439825,1414385,25091,29371002.0,59090.0,34272705,33648187,458219,608319915.0,12940,14672,445,1257296,37,22,0,733171855,328550271,2662589,4417754,13043164,7413554,29586,49514,2021-10-30,TT
8,Dadra and Nagar Haveli and Daman and Diu,10681,10643,4,72410.0,0.0,34272705,33648187,458219,608319915.0,12940,14672,445,1257296,0,1,0,733171855,328550271,2662589,4417754,660750,370235,102,773,2021-10-30,TT
9,Goa,178085,174339,3364,1466038.0,2655.0,34272705,33648187,458219,608319915.0,12940,14672,445,1257296,22,50,1,733171855,328550271,2662589,4417754,1259996,898710,1094,6468,2021-10-30,TT
10,Gujarat,826557,816260,10089,30893781.0,49089.0,34272705,33648187,458219,608319915.0,12940,14672,445,1257296,31,14,1,733171855,328550271,2662589,4417754,44720370,25908711,46750,317917,2021-10-30,TT
11,Himachal Pradesh,224021,218212,3737,3681398.0,9543.0,34272705,33648187,458219,608319915.0,12940,14672,445,1257296,145,62,5,733171855,328550271,2662589,4417754,5713313,3435608,1939,34312,2021-10-30,TT
12,Haryana,771241,761058,10049,13011916.0,23500.0,34272705,33648187,458219,608319915.0,12940,14672,445,1257296,12,11,0,733171855,328550271,2662589,4417754,17763563,8099004,20180,46808,2021-10-30,TT
13,Jharkhand,348754,343510,5138,15954640.0,39397.0,34272705,33648187,458219,608319915.0,12940,14672,445,1257296,18,5,0,733171855,328550271,2662589,4417754,14943644,5532110,40919,52471,2021-10-30,TT
14,Jammu and Kashmir,332154,326836,4432,16163431.0,39002.0,34272705,33648187,458219,608319915.0,12940,14672,445,1257296,101,87,0,733171855,328550271,2662589,4417754,9509148,5099924,3882,61756,2021-10-30,TT
15,Karnataka,2988041,2941233,38071,50766164.0,108868.0,34272705,33648187,458219,608319915.0,12940,14672,445,1257296,347,255,10,733171855,328550271,2662589,4417754,42479462,22828674,72151,149260,2021-10-30,TT
16,Kerala,4961490,4850742,31514,37821220.0,70709.0,34272705,33648187,458219,608319915.0,12940,14672,445,1257296,7427,7166,358,733171855,328550271,2662589,4417754,25304454,13646274,23405,146373,2021-10-30,TT
17,Ladakh,20951,20678,208,555180.0,587.0,34272705,33648187,458219,608319915.0,12940,14672,445,1257296,10,3,0,733171855,328550271,2662589,4417754,208798,152277,46,272,2021-10-30,TT
18,Lakshadweep,10365,10270,51,263510.0,292.0,34272705,33648187,458219,608319915.0,12940,14672,445,1257296,0,0,0,733171855,328550271,2662589,4417754,55129,45946,43,128,2021-10-30,TT
19,Maharashtra,6609906,6449186,140196,62559171.0,119271.0,34272705,33648187,458219,608319915.0,12940,14672,445,1257296,614,2148,26,733171855,328550271,2662589,4417754,67142714,30942134,236912,193595,2021-10-30,TT
20,Meghalaya,83605,81695,1449,1150106.0,2177.0,34272705,33648187,458219,608319915.0,12940,14672,445,1257296,46,67,0,733171855,328550271,2662589,4417754,1103237,641615,1097,4444,2021-10-30,TT
21,Manipur,123668,121040,1920,1365984.0,1822.0,34272705,33648187,458219,608319915.0,12940,14672,445,1257296,59,221,1,733171855,328550271,2662589,4417754,1248731,715130,1131,12445,2021-10-30,TT
22,Madhya Pradesh,792838,782207,10524,20238857.0,57439.0,34272705,33648187,458219,608319915.0,12940,14672,445,1257296,6,12,0,733171855,328550271,2662589,4417754,49905905,20757556,36931,549615,2021-10-30,TT
23,Mizoram,120780,114002,430,1292499.0,4346.0,34272705,33648187,458219,608319915.0,12940,14672,445,1257296,692,756,3,733171855,328550271,2662589,4417754,711466,511978,128,184,2021-10-30,TT
24,Nagaland,31831,29883,684,394948.0,771.0,34272705,33648187,458219,608319915.0,12940,14672,445,1257296,20,19,0,733171855,328550271,2662589,4417754,709361,489840,324,1178,2021-10-30,TT
25,Odisha,1040969,1028697,8382,21924668.0,68705.0,34272705,33648187,458219,608319915.0,12940,14672,445,1257296,374,490,4,733171855,328550271,2662589,4417754,25713913,11533383,101142,144012,2021-10-30,TT
26,Punjab,602375,585566,16558,15395263.0,33753.0,34272705,33648187,458219,608319915.0,12940,14672,445,1257296,26,27,1,733171855,328550271,2662589,4417754,15938651,6233923,31832,39684,2021-10-30,TT
27,Puducherry,127975,125681,1857,1916398.0,2786.0,34272705,33648187,458219,608319915.0,12940,14672,445,1257296,39,48,0,733171855,328550271,2662589,4417754,733788,403857,657,2186,2021-10-30,TT
28,Rajasthan,954427,945441,8954,14794298.0,13621.0,34272705,33648187,458219,608319915.0,12940,14672,445,1257296,3,1,0,733171855,328550271,2662589,4417754,42532384,20060434,43316,159579,2021-10-30,TT
29,Sikkim,31958,31055,395,260954.0,379.0,34272705,33648187,458219,608319915.0,12940,14672,445,1257296,10,3,0,733171855,328550271,2662589,4417754,521763,451509,58,799,2021-10-30,TT
