"Sl. 
No","District","Total Positive 
Cases","Discharged","Active 
Cases","Death"
"1","Ariyalur","19909","19620","22","267"
"2","Chengalpattu","239892","235176","2058","2658"
"3","Chennai","762482","748241","5173","9068"
"4","Coimbatore","331326","327963","746","2617"
"5","Cuddalore","74349","73407","47","895"
"6","Dharmapuri","36220","35927","10","283"
"7","Dindigul","37515","36823","27","665"
"8","Erode","132845","132005","106","734"
"9","Kallakurichi","36538","36313","10","215"
"10","Kancheepuram","95285","93569","414","1302"
"11","Kanyakumari","87013","85528","400","1085"
"12","Karur","29787","29398","17","372"
"13","Krishnagiri","59749","59314","65","370"
"14","Madurai","91360","89942","182","1236"
"15","Mayiladuthurai","26536","26184","22","330"
"16","Nagapattinam","25475","25074","26","375"
"17","Namakkal","68098","67505","59","534"
"18","Nilgiris","42276","41993","57","226"
"19","Perambalur","14540","14233","58","249"
"20","Pudukottai","34507","34057","24","426"
"21","Ramanathapuram","24709","24318","23","368"
"22","Ranipet","54162","53238","137","787"
"23","Salem","127645","125729","154","1762"
"24","Sivagangai","23991","23679","93","219"
"25","Tenkasi","32837","32281","66","490"
"26","Thanjavur","92252","91151","61","1040"
"27","Theni","50673","50094","46","533"
"28","Thirupathur","35769","35118","18","633"
"29","Thiruvallur","148719","146105","675","1939"
"30","Thiruvannamalai","66926","66171","70","685"
"31","Thiruvarur","48071","47562","37","472"
"32","Thoothukudi","65337","64628","261","448"
"33","Tirunelveli","63199","62483","271","445"
"34","Tiruppur","130077","128941","84","1052"
"35","Trichy","95401","93945","295","1161"
"36","Vellore","57446","56219","64","1163"
"37","Villupuram","54681","54239","76","366"
"38","Virudhunagar","57063","56331","178","554"
"39","Airport Surveillance 
(International)","1347","1324","22","1"
"40","Airport Surveillance 
(Domestic)","1135","1130","4","1"
"41","Railway Surveillance","428","428","0","0"
"Grand Total","","34,77,570","34,27,386","12,158","38,026"
