,District,cumulativeConfirmedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeDeceasedNumberForDistrict,Date,State/UTCode,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,last_updated,cumulativeTestedNumberForState,tested_last_updated_state,deltaTestedForState,cumulativeVaccinatedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinated3NumberForState,cumulativeVaccinatedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinated3NumberForDistrict,tested_source_state,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaVaccinated3ForState,deltaVaccinated2ForState,deltaVaccinated1ForState,deltaVaccinatedForState,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinated3ForDistrict,deltaVaccinatedForDistrict,deltaConfirmedForDistrict,deltaRecoveredForDistrict,deltaDeceasedForDistrict,7DmaTestedForState,delta21_14confirmedForState,statePopulation,StateName,districtPopulation
0,Andaman and Nicobar Islands,10766,10637,129,2023-08-12,TT,44996236,531920,44462829,2023-12-23 23:40:24.258965,934182797,2023-08-11 00:00:00,31552,2206730470,1027415767,951982491,227332212,991264,347616,353285,290363,https://www.icmr.gov.in/,38,0,56,256,39,62,357,0,0,0,0,0,0,0,,,1332900000,Andaman and Nicobar Islands,397000
1,Andhra Pradesh,2340676,2325943,14733,2023-08-12,TT,44996236,531920,44462829,2023-12-23 23:40:24.258965,934182797,2023-08-11 00:00:00,31552,2206730470,1027415767,951982491,227332212,110957427,44704413,47578800,18674214,https://www.icmr.gov.in/,38,0,56,256,39,62,357,0,1,0,1,0,2,0,,,1332900000,Andhra Pradesh,52221000
2,Arunachal Pradesh,67049,66753,296,2023-08-12,TT,44996236,531920,44462829,2023-12-23 23:40:24.258965,934182797,2023-08-11 00:00:00,31552,2206730470,1027415767,951982491,227332212,1924584,961348,821819,141417,https://www.icmr.gov.in/,38,0,56,256,39,62,357,0,0,0,0,0,0,0,,,1332900000,Arunachal Pradesh,1504000
3,Assam,746150,738115,8035,2023-08-12,TT,44996236,531920,44462829,2023-12-23 23:40:24.258965,934182797,2023-08-11 00:00:00,31552,2206730470,1027415767,951982491,227332212,50335778,24813013,22150254,3372511,https://www.icmr.gov.in/,38,0,56,256,39,62,357,0,0,0,0,0,0,0,,,1332900000,Assam,34293000
4,Bihar,855262,842947,12314,2023-08-12,TT,44996236,531920,44462829,2023-12-23 23:40:24.258965,934182797,2023-08-11 00:00:00,31552,2206730470,1027415767,951982491,227332212,157291646,73485698,67912415,15893533,https://www.icmr.gov.in/,38,0,56,256,39,62,357,12,1,73,86,0,1,0,,,1332900000,Bihar,119520000
5,Chandigarh,100693,99508,1185,2023-08-12,TT,44996236,531920,44462829,2023-12-23 23:40:24.258965,934182797,2023-08-11 00:00:00,31552,2206730470,1027415767,951982491,227332212,2291704,1185860,991121,114723,https://www.icmr.gov.in/,38,0,56,256,39,62,357,3,1,0,4,0,0,0,,,1332900000,Chandigarh,1179000
6,Chhattisgarh,1187693,1173501,14190,2023-08-12,TT,44996236,531920,44462829,2023-12-23 23:40:24.258965,934182797,2023-08-11 00:00:00,31552,2206730470,1027415767,951982491,227332212,49167939,21267795,20343760,7556384,https://www.icmr.gov.in/,38,0,56,256,39,62,357,0,0,0,0,2,0,0,,,1332900000,Chhattisgarh,28724000
7,Dadra and Nagar Haveli and Daman and Diu,11592,11588,4,2023-08-12,TT,44996236,531920,44462829,2023-12-23 23:40:24.258965,934182797,2023-08-11 00:00:00,31552,2206730470,1027415767,951982491,227332212,1580060,782353,636962,160745,https://www.icmr.gov.in/,38,0,56,256,39,62,357,0,0,0,0,0,0,0,,,1332900000,Dadra and Nagar Haveli and Daman and Diu,959000
8,Delhi,2040840,2014167,26666,2023-08-12,TT,44996236,531920,44462829,2023-12-23 23:40:24.258965,934182797,2023-08-11 00:00:00,31552,2206730470,1027415767,951982491,227332212,37409195,18297792,15717481,3393922,https://www.icmr.gov.in/,38,0,56,256,39,62,357,2,0,3,5,8,7,1,,,1332900000,Delhi,19814000
9,Goa,263334,259319,4014,2023-08-12,TT,44996236,531920,44462829,2023-12-23 23:40:24.258965,934182797,2023-08-11 00:00:00,31552,2206730470,1027415767,951982491,227332212,2874477,1440045,1295735,138697,https://www.icmr.gov.in/,38,0,56,256,39,62,357,0,0,0,0,0,1,0,,,1332900000,Goa,1540000
10,Gujarat,1291369,1280288,11079,2023-08-12,TT,44996236,531920,44462829,2023-12-23 23:40:24.258965,934182797,2023-08-11 00:00:00,31552,2206730470,1027415767,951982491,227332212,128105318,54398406,54032577,19674335,https://www.icmr.gov.in/,38,0,56,256,39,62,357,4,1,2,7,0,1,0,,,1332900000,Gujarat,67936000
11,Haryana,1078888,1068107,10755,2023-08-12,TT,44996236,531920,44462829,2023-12-23 23:40:24.258965,934182797,2023-08-11 00:00:00,31552,2206730470,1027415767,951982491,227332212,45546719,23681803,19849258,2015658,https://www.icmr.gov.in/,38,0,56,256,39,62,357,0,0,2,2,3,0,0,,,1332900000,Haryana,28672000
12,Himachal Pradesh,322883,318631,4241,2023-08-12,TT,44996236,531920,44462829,2023-12-23 23:40:24.258965,934182797,2023-08-11 00:00:00,31552,2206730470,1027415767,951982491,227332212,15325484,6646550,6328308,2350626,https://www.icmr.gov.in/,38,0,56,256,39,62,357,0,0,0,0,4,3,0,,,1332900000,Himachal Pradesh,7300000
13,Jammu and Kashmir,482023,477230,4792,2023-08-12,TT,44996236,531920,44462829,2023-12-23 23:40:24.258965,934182797,2023-08-11 00:00:00,31552,2206730470,1027415767,951982491,227332212,24782265,11372601,11768145,1641519,https://www.icmr.gov.in/,38,0,56,256,39,62,357,0,0,0,0,0,0,0,,,1332900000,Jammu and Kashmir,13203000
14,Jharkhand,443825,438491,5334,2023-08-12,TT,44996236,531920,44462829,2023-12-23 23:40:24.258965,934182797,2023-08-11 00:00:00,31552,2206730470,1027415767,951982491,227332212,43875945,23969121,17860835,2045989,https://www.icmr.gov.in/,38,0,56,256,39,62,357,0,0,0,0,0,0,0,,,1332900000,Jharkhand,37403000
15,Karnataka,4088721,4048354,40357,2023-08-12,TT,44996236,531920,44462829,2023-12-23 23:40:24.258965,934182797,2023-08-11 00:00:00,31552,2206730470,1027415767,951982491,227332212,122151456,55174692,55391739,11585025,https://www.icmr.gov.in/,38,0,56,256,39,62,357,1,1,16,18,1,3,0,,,1332900000,Karnataka,65798000
16,Kerala,6907149,6834201,71946,2023-08-12,TT,44996236,531920,44462829,2023-12-23 23:40:24.258965,934182797,2023-08-11 00:00:00,31552,2206730470,1027415767,951982491,227332212,57511216,29151474,25272310,3087432,https://www.icmr.gov.in/,38,0,56,256,39,62,357,5,11,9,25,5,7,0,,,1332900000,Kerala,35125000
17,Ladakh,29591,29356,231,2023-08-12,TT,44996236,531920,44462829,2023-12-23 23:40:24.258965,934182797,2023-08-11 00:00:00,31552,2206730470,1027415767,951982491,227332212,567133,238303,204114,124716,https://www.icmr.gov.in/,38,0,56,256,39,62,357,0,0,0,0,4,0,0,,,1332900000,Ladakh,293000
18,Lakshadweep,11415,11363,52,2023-08-12,TT,44996236,531920,44462829,2023-12-23 23:40:24.258965,934182797,2023-08-11 00:00:00,31552,2206730470,1027415767,951982491,227332212,145313,61813,60525,22975,https://www.icmr.gov.in/,38,0,56,256,39,62,357,0,0,0,0,0,0,0,,,1332900000,Lakshadweep,68000
19,Maharashtra,8170343,8021705,148557,2023-08-12,TT,44996236,531920,44462829,2023-12-23 23:40:24.258965,934182797,2023-08-11 00:00:00,31552,2206730470,1027415767,951982491,227332212,177976179,91675088,76629475,9671616,https://www.icmr.gov.in/,38,0,56,256,39,62,357,16,13,40,69,38,55,0,,,1332900000,Maharashtra,122153000
20,Manipur,140032,137882,2149,2023-08-12,TT,44996236,531920,44462829,2023-12-23 23:40:24.258965,934182797,2023-08-11 00:00:00,31552,2206730470,1027415767,951982491,227332212,3269105,1649469,1339220,280416,https://www.icmr.gov.in/,38,0,56,256,39,62,357,0,0,0,0,0,0,0,,,1332900000,Manipur,3103000
21,Meghalaya,96969,95338,1628,2023-08-12,TT,44996236,531920,44462829,2023-12-23 23:40:24.258965,934182797,2023-08-11 00:00:00,31552,2206730470,1027415767,951982491,227332212,2625919,1446997,1087857,91065,https://www.icmr.gov.in/,38,0,56,256,39,62,357,0,1,5,6,1,0,0,,,1332900000,Meghalaya,3224000
22,Mizoram,239559,238821,734,2023-08-12,TT,44996236,531920,44462829,2023-12-23 23:40:24.258965,934182797,2023-08-11 00:00:00,31552,2206730470,1027415767,951982491,227332212,1793298,894318,750177,148803,https://www.icmr.gov.in/,38,0,56,256,39,62,357,0,0,0,0,0,0,0,,,1332900000,Mizoram,1192000
23,Madhya Pradesh,1056351,1045565,10786,2023-08-12,TT,44996236,531920,44462829,2023-12-23 23:40:24.258965,934182797,2023-08-11 00:00:00,31552,2206730470,1027415767,951982491,227332212,133940185,60749447,59233147,13957591,https://www.icmr.gov.in/,38,0,56,256,39,62,357,0,0,0,0,0,0,0,,,1332900000,Madhya Pradesh,82232000
24,Nagaland,36032,35250,782,2023-08-12,TT,44996236,531920,44462829,2023-12-23 23:40:24.258965,934182797,2023-08-11 00:00:00,31552,2206730470,1027415767,951982491,227332212,1739837,923955,744983,70899,https://www.icmr.gov.in/,38,0,56,256,39,62,357,0,0,0,0,0,0,0,,,1332900000,Nagaland,2150000
