"Sl. 
No","District","Total Positive 
Cases","Discharged","Active 
Cases","Death"
"1","Ariyalur","18229","17048","916","265"
"2","Chengalpattu","212379","191941","17856","2582"
"3","Chennai","693010","629624","54572","8814"
"4","Coimbatore","287398","261932","22921","2545"
"5","Cuddalore","69627","65615","3131","881"
"6","Dharmapuri","32106","29697","2128","281"
"7","Dindigul","34950","33347","949","654"
"8","Erode","117418","110406","6291","721"
"9","Kallakurichi","34010","32399","1401","210"
"10","Kancheepuram","87287","80763","5239","1285"
"11","Kanyakumari","74930","66203","7655","1072"
"12","Karur","26815","25171","1275","369"
"13","Krishnagiri","50992","46044","4585","363"
"14","Madurai","85195","79180","4816","1199"
"15","Mayiladuthurai","24859","23636","902","321"
"16","Nagapattinam","23158","21588","1208","362"
"17","Namakkal","59705","56009","3172","524"
"18","Nilgiris","38000","35741","2036","223"
"19","Perambalur","13609","12626","735","248"
"20","Pudukottai","31918","30471","1025","422"
"21","Ramanathapuram","22881","21309","1208","364"
"22","Ranipet","48968","45476","2709","783"
"23","Salem","111731","104540","5457","1734"
"24","Sivagangai","22045","21072","760","213"
"25","Tenkasi","29558","27758","1313","487"
"26","Thanjavur","83758","77807","4936","1015"
"27","Theni","47356","44311","2521","524"
"28","Thirupathur","32789","30184","1977","628"
"29","Thiruvallur","138065","128221","7950","1894"
"30","Thiruvannamalai","60920","57108","3134","678"
"31","Thiruvarur","44394","42452","1478","464"
"32","Thoothukudi","61690","59006","2254","430"
"33","Tirunelveli","57263","52737","4085","441"
"34","Tiruppur","109039","101566","6438","1035"
"35","Trichy","87320","81726","4475","1119"
"36","Vellore","55619","52522","1943","1154"
"37","Villupuram","49962","47215","2386","361"
"38","Virudhunagar","52297","48647","3099","551"
"39","Airport Surveillance 
(International)","1208","1191","16","1"
"40","Airport Surveillance 
(Domestic)","1104","1101","2","1"
"41","Railway Surveillance","428","428","0","0"
"Grand Total","","31,33,990","28,95,818","2,00,954","37,218"
