"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","2,00,954"
"2","Number of persons tested positive today in Tamil Nadu","30,567"
"","Passengers returned from other states / countries by 
Road tested positive today","Karnataka - 4 
Andhra Pradesh - 4 
Gujarat - 2 
Puducherry - 1 
Jharkhand - 1 
Kerala - 1"
"","Total","30,580"
"3","Total Number of persons tested positive till date","31,33,990"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","1,57,732/ 
6,06,03,494@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","1,49,638/ 
5,95,99,884"
"6","No. of Male / Female / Transgender tested positive today","17,324/13,256/0"
"7","No. of Male / Female / Transgender tested positive till date","18,28,727/13,05,225/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","330 (69 Govt+ 
261$ Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","24,283/ 
28,95,818"
"10","Total number of deaths today/ till date","40(15 Private &  
25 Govt) /37,218"
