"Districts","Samples 
Sent to 
Labs 
Today","Negative","","Positive","","Cumulative 
Samples 
Tested 
Since 
01.01.2022","Results 
Awaited 
(including sample 
sent to labs today)"
"","","Negative 
in last 24 
hours","Negative 
Cumulative 
Since 
01.01.2022","Positive 
in last 24 
hours","Positive 
Cumulative 
Since 
01.01.2022","",""
"Almora","47","87","62216","0","4515","66725","18"
"Bageshwar","0","1","33980","0","2088","36064","0"
"Chamoli","26","27","46813","0","3200","50011","52"
"Champawat","40","154","60650","0","1910","62557","16"
"Dehradun","361","327","360783","16","32990","393638","87"
"Haridwar","87","97","303442","2","13098","316510","21"
"Nainital","62","111","79524","0","11328","90782","22"
"Pauri Garhwal","55","70","92113","0","5268","97374","27"
"Pithoragarh","9","10","39710","0","2559","42257","22"
"Rudraprayag","3","1","26595","0","2702","29297","15"
"Tehri Garhwal","71","112","33937","0","2352","36282","31"
"US Nagar","331","211","132046","0","8788","140810","92"
"Uttarkashi","21","168","36960","0","1641","38599","5"
"Total","1113","1376","1308769","18","92439","1400906","408"
