,District,cumulativeConfirmedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeDeceasedNumberForDistrict,Date,State/UTCode,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,last_updated,cumulativeTestedNumberForState,tested_last_updated_state,deltaTestedForState,cumulativeVaccinatedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinatedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,tested_source_state,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaVaccinated2ForState,deltaVaccinated1ForState,deltaVaccinatedForState,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinatedForDistrict,deltaConfirmedForDistrict,deltaRecoveredForDistrict,deltaDeceasedForDistrict,7DmaConfirmedForState,7DmaRecoveredForState,7DmaDeceasedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,7DmaVaccinatedForState,7DmaConfirmedForDistrict,7DmaRecoveredForDistrict,7DmaDeceasedForDistrict,7DmaVaccinatedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,7DmaTestedForState,delta21_14confirmedForState,statePopulation,StateName,districtPopulation
0,Andaman and Nicobar Islands,7676,7541,129,2021-11-20,TT,34499925,465349,33909708,2021-11-20 05:13:59.602055,630575279,2021-11-19 00:00:00,1187739,1158433611,763834772,394598839,530327,295693,234634,https://www.icmr.gov.in/,10302,267,11787,108266,80872,189138,0,54,54,1,0,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363443.4285714286,1340164.142857143,16386.14285714286,0,0,0,,,1332900000,Andaman and Nicobar Islands,397000
1,Andhra Pradesh,2070906,2054056,14425,2021-11-20,TT,34499925,465349,33909708,2021-11-20 05:13:59.602055,630575279,2021-11-19 00:00:00,1187739,1158433611,763834772,394598839,56936990,33900152,23036838,https://www.icmr.gov.in/,10302,267,11787,108266,80872,189138,522,2499,3021,168,301,2,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363443.4285714286,1340164.142857143,16386.14285714286,0,0,0,,,1332900000,Andhra Pradesh,52221000
2,Arunachal Pradesh,55243,54915,280,2021-11-20,TT,34499925,465349,33909708,2021-11-20 05:13:59.602055,630575279,2021-11-19 00:00:00,1187739,1158433611,763834772,394598839,1370458,784733,585725,https://www.icmr.gov.in/,10302,267,11787,108266,80872,189138,47,107,154,1,7,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363443.4285714286,1340164.142857143,16386.14285714286,0,0,0,,,1332900000,Arunachal Pradesh,1504000
3,Assam,615053,605933,6066,2021-11-20,TT,34499925,465349,33909708,2021-11-20 05:13:59.602055,630575279,2021-11-19 00:00:00,1187739,1158433611,763834772,394598839,31309654,20732286,10577368,https://www.icmr.gov.in/,10302,267,11787,108266,80872,189138,1808,3135,4943,190,277,1,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363443.4285714286,1340164.142857143,16386.14285714286,0,0,0,,,1332900000,Assam,34293000
4,Bihar,726182,716480,9663,2021-11-20,TT,34499925,465349,33909708,2021-11-20 05:13:59.602055,630575279,2021-11-19 00:00:00,1187739,1158433611,763834772,394598839,74275333,52168512,22106821,https://www.icmr.gov.in/,10302,267,11787,108266,80872,189138,10069,11665,21734,4,4,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363443.4285714286,1340164.142857143,16386.14285714286,0,0,0,,,1332900000,Bihar,119520000
5,Chandigarh,65398,64551,820,2021-11-20,TT,34499925,465349,33909708,2021-11-20 05:13:59.602055,630575279,2021-11-19 00:00:00,1187739,1158433611,763834772,394598839,1530893,934217,596676,https://www.icmr.gov.in/,10302,267,11787,108266,80872,189138,12,85,97,4,5,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363443.4285714286,1340164.142857143,16386.14285714286,0,0,0,,,1332900000,Chandigarh,1179000
6,Chhattisgarh,1006494,992613,13591,2021-11-20,TT,34499925,465349,33909708,2021-11-20 05:13:59.602055,630575279,2021-11-19 00:00:00,1187739,1158433611,763834772,394598839,24156242,15617627,8538615,https://www.icmr.gov.in/,10302,267,11787,108266,80872,189138,4403,2438,6841,35,17,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363443.4285714286,1340164.142857143,16386.14285714286,0,0,0,,,1332900000,Chhattisgarh,28724000
7,Dadra and Nagar Haveli and Daman and Diu,10682,10678,4,2021-11-20,TT,34499925,465349,33909708,2021-11-20 05:13:59.602055,630575279,2021-11-19 00:00:00,1187739,1158433611,763834772,394598839,1085787,669379,416408,https://www.icmr.gov.in/,10302,267,11787,108266,80872,189138,0,10,10,0,0,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363443.4285714286,1340164.142857143,16386.14285714286,0,0,0,,,1332900000,Dadra and Nagar Haveli and Daman and Diu,959000
8,Delhi,1440605,1415185,25095,2021-11-20,TT,34499925,465349,33909708,2021-11-20 05:13:59.602055,630575279,2021-11-19 00:00:00,1187739,1158433611,763834772,394598839,21720943,13500818,8220125,https://www.icmr.gov.in/,10302,267,11787,108266,80872,189138,52,214,266,30,67,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363443.4285714286,1340164.142857143,16386.14285714286,0,0,0,,,1332900000,Delhi,19814000
9,Goa,178614,174989,3377,2021-11-20,TT,34499925,465349,33909708,2021-11-20 05:13:59.602055,630575279,2021-11-19 00:00:00,1187739,1158433611,763834772,394598839,2267033,1274913,992120,https://www.icmr.gov.in/,10302,267,11787,108266,80872,189138,4,33,37,20,24,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363443.4285714286,1340164.142857143,16386.14285714286,0,0,0,,,1332900000,Goa,1540000
10,Gujarat,827148,816726,10091,2021-11-20,TT,34499925,465349,33909708,2021-11-20 05:13:59.602055,630575279,2021-11-19 00:00:00,1187739,1158433611,763834772,394598839,76596904,45330311,31266593,https://www.icmr.gov.in/,10302,267,11787,108266,80872,189138,1034,6134,7168,36,16,1,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363443.4285714286,1340164.142857143,16386.14285714286,0,0,0,,,1332900000,Gujarat,67936000
11,Haryana,771517,761330,10052,2021-11-20,TT,34499925,465349,33909708,2021-11-20 05:13:59.602055,630575279,2021-11-19 00:00:00,1187739,1158433611,763834772,394598839,27401205,18202575,9198630,https://www.icmr.gov.in/,10302,267,11787,108266,80872,189138,1367,904,2271,22,23,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363443.4285714286,1340164.142857143,16386.14285714286,0,0,0,,,1332900000,Haryana,28672000
12,Himachal Pradesh,226264,221385,3828,2021-11-20,TT,34499925,465349,33909708,2021-11-20 05:13:59.602055,630575279,2021-11-19 00:00:00,1187739,1158433611,763834772,394598839,10267621,5771830,4495791,https://www.icmr.gov.in/,10302,267,11787,108266,80872,189138,12,133,145,51,142,2,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363443.4285714286,1340164.142857143,16386.14285714286,0,0,0,,,1332900000,Himachal Pradesh,7300000
13,Jammu and Kashmir,335016,328888,4459,2021-11-20,TT,34499925,465349,33909708,2021-11-20 05:13:59.602055,630575279,2021-11-19 00:00:00,1187739,1158433611,763834772,394598839,16105153,9568298,6536855,https://www.icmr.gov.in/,10302,267,11787,108266,80872,189138,106,2529,2635,193,105,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363443.4285714286,1340164.142857143,16386.14285714286,0,0,0,,,1332900000,Jammu and Kashmir,13203000
14,Jharkhand,349111,343839,5139,2021-11-20,TT,34499925,465349,33909708,2021-11-20 05:13:59.602055,630575279,2021-11-19 00:00:00,1187739,1158433611,763834772,394598839,22796627,15937736,6858891,https://www.icmr.gov.in/,10302,267,11787,108266,80872,189138,7482,7304,14786,22,27,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363443.4285714286,1340164.142857143,16386.14285714286,0,0,0,,,1332900000,Jharkhand,37403000
15,Karnataka,2993139,2947683,38169,2021-11-20,TT,34499925,465349,33909708,2021-11-20 05:13:59.602055,630575279,2021-11-19 00:00:00,1187739,1158433611,763834772,394598839,69909577,43608308,26301269,https://www.icmr.gov.in/,10302,267,11787,108266,80872,189138,3334,7000,10334,242,329,4,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363443.4285714286,1340164.142857143,16386.14285714286,0,0,0,,,1332900000,Karnataka,65798000
16,Kerala,5089849,4990817,37051,2021-11-20,TT,34499925,465349,33909708,2021-11-20 05:13:59.602055,630575279,2021-11-19 00:00:00,1187739,1158433611,763834772,394598839,41722550,25570911,16151639,https://www.icmr.gov.in/,10302,267,11787,108266,80872,189138,96,1032,1128,5754,6489,204,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363443.4285714286,1340164.142857143,16386.14285714286,0,0,0,,,1332900000,Kerala,35125000
17,Ladakh,21298,20862,212,2021-11-20,TT,34499925,465349,33909708,2021-11-20 05:13:59.602055,630575279,2021-11-19 00:00:00,1187739,1158433611,763834772,394598839,373704,210564,163140,https://www.icmr.gov.in/,10302,267,11787,108266,80872,189138,2,8,10,28,15,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363443.4285714286,1340164.142857143,16386.14285714286,0,0,0,,,1332900000,Ladakh,293000
18,Lakshadweep,10370,10314,51,2021-11-20,TT,34499925,465349,33909708,2021-11-20 05:13:59.602055,630575279,2021-11-19 00:00:00,1187739,1158433611,763834772,394598839,103717,55337,48380,https://www.icmr.gov.in/,10302,267,11787,108266,80872,189138,0,14,14,0,0,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363443.4285714286,1340164.142857143,16386.14285714286,0,0,0,,,1332900000,Lakshadweep,68000
19,Maharashtra,6628744,6472681,140707,2021-11-20,TT,34499925,465349,33909708,2021-11-20 05:13:59.602055,630575279,2021-11-19 00:00:00,1187739,1158433611,763834772,394598839,105983783,70691122,35292661,https://www.icmr.gov.in/,10302,267,11787,108266,80872,189138,6741,5530,12271,906,918,15,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363443.4285714286,1340164.142857143,16386.14285714286,0,0,0,,,1332900000,Maharashtra,122153000
20,Manipur,124757,122210,1959,2021-11-20,TT,34499925,465349,33909708,2021-11-20 05:13:59.602055,630575279,2021-11-19 00:00:00,1187739,1158433611,763834772,394598839,2097673,1268579,829094,https://www.icmr.gov.in/,10302,267,11787,108266,80872,189138,27,126,153,57,50,3,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363443.4285714286,1340164.142857143,16386.14285714286,0,0,0,,,1332900000,Manipur,3103000
21,Meghalaya,84188,82435,1467,2021-11-20,TT,34499925,465349,33909708,2021-11-20 05:13:59.602055,630575279,2021-11-19 00:00:00,1187739,1158433611,763834772,394598839,1906533,1142505,764028,https://www.icmr.gov.in/,10302,267,11787,108266,80872,189138,162,341,503,38,23,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363443.4285714286,1340164.142857143,16386.14285714286,0,0,0,,,1332900000,Meghalaya,3224000
22,Mizoram,131248,125751,475,2021-11-20,TT,34499925,465349,33909708,2021-11-20 05:13:59.602055,630575279,2021-11-19 00:00:00,1187739,1158433611,763834772,394598839,1267119,723543,543576,https://www.icmr.gov.in/,10302,267,11787,108266,80872,189138,187,82,269,336,581,2,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363443.4285714286,1340164.142857143,16386.14285714286,0,0,0,,,1332900000,Mizoram,1192000
23,Madhya Pradesh,792999,782396,10525,2021-11-20,TT,34499925,465349,33909708,2021-11-20 05:13:59.602055,630575279,2021-11-19 00:00:00,1187739,1158433611,763834772,394598839,79317501,50556082,28761419,https://www.icmr.gov.in/,10302,267,11787,108266,80872,189138,2127,15117,17244,6,6,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363443.4285714286,1340164.142857143,16386.14285714286,0,0,0,,,1332900000,Madhya Pradesh,82232000
24,Nagaland,32040,31218,695,2021-11-20,TT,34499925,465349,33909708,2021-11-20 05:13:59.602055,630575279,2021-11-19 00:00:00,1187739,1158433611,763834772,394598839,1251199,722701,528498,https://www.icmr.gov.in/,10302,267,11787,108266,80872,189138,40,49,89,8,12,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363443.4285714286,1340164.142857143,16386.14285714286,0,0,0,,,1332900000,Nagaland,2150000
25,Odisha,1046559,1035967,8389,2021-11-20,TT,34499925,465349,33909708,2021-11-20 05:13:59.602055,630575279,2021-11-19 00:00:00,1187739,1158433611,763834772,394598839,41378449,27178654,14199795,https://www.icmr.gov.in/,10302,267,11787,108266,80872,189138,3652,6013,9665,242,354,3,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363443.4285714286,1340164.142857143,16386.14285714286,0,0,0,,,1332900000,Odisha,43671000
26,Puducherry,128588,126405,1869,2021-11-20,TT,34499925,465349,33909708,2021-11-20 05:13:59.602055,630575279,2021-11-19 00:00:00,1187739,1158433611,763834772,394598839,1180855,743922,436933,https://www.icmr.gov.in/,10302,267,11787,108266,80872,189138,40,179,219,27,37,2,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363443.4285714286,1340164.142857143,16386.14285714286,0,0,0,,,1332900000,Puducherry,1504000
27,Punjab,602943,586048,16580,2021-11-20,TT,34499925,465349,33909708,2021-11-20 05:13:59.602055,630575279,2021-11-19 00:00:00,1187739,1158433611,763834772,394598839,23282764,16307199,6975565,https://www.icmr.gov.in/,10302,267,11787,108266,80872,189138,551,1113,1664,37,27,3,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363443.4285714286,1340164.142857143,16386.14285714286,0,0,0,,,1332900000,Punjab,29859000
28,Rajasthan,954577,945521,8955,2021-11-20,TT,34499925,465349,33909708,2021-11-20 05:13:59.602055,630575279,2021-11-19 00:00:00,1187739,1158433611,763834772,394598839,65183340,43013449,22169891,https://www.icmr.gov.in/,10302,267,11787,108266,80872,189138,843,4816,5659,9,3,1,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363443.4285714286,1340164.142857143,16386.14285714286,0,0,0,,,1332900000,Rajasthan,77264000
29,Sikkim,32147,31630,403,2021-11-20,TT,34499925,465349,33909708,2021-11-20 05:13:59.602055,630575279,2021-11-19 00:00:00,1187739,1158433611,763834772,394598839,987604,522804,464800,https://www.icmr.gov.in/,10302,267,11787,108266,80872,189138,1,1,2,18,9,1,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363443.4285714286,1340164.142857143,16386.14285714286,0,0,0,,,1332900000,Sikkim,664000
30,Tamil Nadu,2718750,2673448,36349,2021-11-20,TT,34499925,465349,33909708,2021-11-20 05:13:59.602055,630575279,2021-11-19 00:00:00,1187739,1158433611,763834772,394598839,63980072,42990491,20989581,https://www.icmr.gov.in/,10302,267,11787,108266,80872,189138,7019,7295,14314,772,884,13,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363443.4285714286,1340164.142857143,16386.14285714286,0,0,0,,,1332900000,Tamil Nadu,75695000
31,Telangana,674318,666682,3979,2021-11-20,TT,34499925,465349,33909708,2021-11-20 05:13:59.602055,630575279,2021-11-19 00:00:00,1187739,1158433611,763834772,394598839,35909398,24143395,11766003,https://www.icmr.gov.in/,10302,267,11787,108266,80872,189138,1954,2039,3993,137,173,1,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363443.4285714286,1340164.142857143,16386.14285714286,0,0,0,,,1332900000,Telangana,37220000
32,Tripura,84708,83807,818,2021-11-20,TT,34499925,465349,33909708,2021-11-20 05:13:59.602055,630575279,2021-11-19 00:00:00,1187739,1158433611,763834772,394598839,4451425,2530234,1921191,https://www.icmr.gov.in/,10302,267,11787,108266,80872,189138,32,437,469,10,14,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363443.4285714286,1340164.142857143,16386.14285714286,0,0,0,,,1332900000,Tripura,3992000
33,Uttar Pradesh,1710317,1687306,22909,2021-11-20,TT,34499925,465349,33909708,2021-11-20 05:13:59.602055,630575279,2021-11-19 00:00:00,1187739,1158433611,763834772,394598839,146778110,104700776,42077334,https://www.icmr.gov.in/,10302,267,11787,108266,80872,189138,22591,15009,37600,11,10,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363443.4285714286,1340164.142857143,16386.14285714286,0,0,0,,,1332900000,Uttar Pradesh,224979000
34,Uttarakhand,344084,336496,7404,2021-11-20,TT,34499925,465349,33909708,2021-11-20 05:13:59.602055,630575279,2021-11-19 00:00:00,1187739,1158433611,763834772,394598839,12106523,7535479,4571044,https://www.icmr.gov.in/,10302,267,11787,108266,80872,189138,45,629,674,10,5,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363443.4285714286,1340164.142857143,16386.14285714286,0,0,0,,,1332900000,Uttarakhand,11141000
35,West Bengal,1608393,1580922,19364,2021-11-20,TT,34499925,465349,33909708,2021-11-20 05:13:59.602055,630575279,2021-11-19 00:00:00,1187739,1158433611,763834772,394598839,86731417,61098403,25633014,https://www.icmr.gov.in/,10302,267,11787,108266,80872,189138,4510,4192,8702,877,833,9,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363443.4285714286,1340164.142857143,16386.14285714286,76814142,55357116,21457026,,,1332900000,West Bengal,96906000
