"Sl. 
No","District","Total Positive 
Cases","Discharged","Active 
Cases","Death"
"1","Ariyalur","20257","19979","11","267"
"2","Chengalpattu","252941","249972","308","2661"
"3","Chennai","791264","779909","2285","9070"
"4","Coimbatore","340623","337740","265","2618"
"5","Cuddalore","75898","74913","89","896"
"6","Dharmapuri","36842","36545","14","283"
"7","Dindigul","39123","38383","75","665"
"8","Erode","136403","135509","160","734"
"9","Kallakurichi","36946","36722","9","215"
"10","Kancheepuram","98211","96895","13","1303"
"11","Kanyakumari","90214","88950","178","1086"
"12","Karur","30271","29879","20","372"
"13","Krishnagiri","62423","61878","173","372"
"14","Madurai","93201","91873","92","1236"
"15","Mayiladuthurai","27415","27032","53","330"
"16","Nagapattinam","26011","25625","11","375"
"17","Namakkal","69766","69200","32","534"
"18","Nilgiris","42903","42638","39","226"
"19","Perambalur","14929","14645","35","249"
"20","Pudukottai","35270","34817","27","426"
"21","Ramanathapuram","25005","24626","10","369"
"22","Ranipet","56600","55755","58","787"
"23","Salem","131724","129827","133","1764"
"24","Sivagangai","25164","24896","49","219"
"25","Tenkasi","33951","33432","29","490"
"26","Thanjavur","93568","92475","52","1041"
"27","Theni","51852","51305","14","533"
"28","Thirupathur","36094","35453","8","633"
"29","Thiruvallur","153494","151509","43","1942"
"30","Thiruvannamalai","68389","67697","7","685"
"31","Thiruvarur","48983","48493","17","473"
"32","Thoothukudi","67332","66801","83","448"
"33","Tirunelveli","66104","65555","104","445"
"34","Tiruppur","132179","131069","57","1053"
"35","Trichy","98149","96893","95","1161"
"36","Vellore","58131","56932","36","1163"
"37","Villupuram","56391","55957","67","367"
"38","Virudhunagar","59569","58927","87","555"
"39","Airport Surveillance 
(International)","1399","1392","6","1"
"40","Airport Surveillance 
(Domestic)","1167","1165","1","1"
"41","Railway Surveillance","428","428","0","0"
"Grand Total","","35,86,584","35,43,691","4,845","38,048"
