"Sr 
No","Name of District","Positive Cases Today","No of Active Cases","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged Cases","Recovery Rate (%)","No. of Deaths","COVID-19, Vaccination Status  
(NHM, Haryana)*","","",""
"","","","","","","","","Coverage of Vaccination  
on 08-09-2022","","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd","Precaution 
Dose",""
"1  Gurugram","","52","229","299485","298233 [85] ↑","99.58%","1023","278","751","4101","5689353"
"2","Faridabad","14","86","135499","134672 [18] ↑","99.39%","741","77","191","872","4172293"
"3  Hisar","","6","49","63790","62562 [3] ↑","98.07%","1179","56","90","256","2428597"
"4","Sonipat","0","26","59557","59255 [1] ↑","99.49%","276","20","257","225","2352941"
"5","Karnal","2","20","49843","49223 [2] ↑","98.76%","600","63","252","455","2459516"
"6","Panchkula","20","48","48265","47797 [11] ↑","99.03%","420","21","62","283","1175966"
"7","Ambala","8","44","42765","42179 [17] ↑","98.63%","542","35","161","501","2203293"
"8","Panipat","4","22","36726","36027 [5] ↑","98.10%","677","31","92","238","2126503"
"9","Sirsa","3","16","34172","33610 [6] ↑","98.36%","546","21","181","105","1984915"
"10  Rohtak","","4","31","33123","32538 [7] ↑","98.23%","537","10","51","153","1807544"
"","11  Yamunanagar","6","28","32572","32086 [11] ↑","98.51%","458","21","1264","503","2032898"
"12  Kurukshetra","","0","9","27774","27360 [3] ↑","98.51%","405","64","205","751","1621815"
"13  Bhiwani","","1","19","27127","26441 [3] ↑","97.47%","667","12","79","186","1875754"
"14","Jind","2","10","25380","24828 [8] ↑","97.83%","542","17","260","177","1774550"
"","15  Mahendragarh","0","3","24994","24826","99.33%","165","7","53","237","1441274"
"16  Rewari","","3","7","24969","24738 [1] ↑","99.07%","224","28","117","522","1623573"
"17","Jhajjar","1","8","24077","23710 [2] ↑","98.48%","353","56","149","428","1629769"
"18  Fatehabad","","1","7","20286","19779","97.50%","500","22","40","14","1211780"
"19  Kaithal","","4","18","15178","14785 [2] ↑","97.41%","375","10","98","1695","1882854"
"20  Palwal","","0","5","13652","13473 [1] ↑","98.69%","174","59","131","352","1575269"
"","21  Charkhi Dadri","8","19","8027","7861 [8] ↑","97.93%","147","16","44","345","949836"
"22  Nuh","","0","3","6171","6029","97.70%","139","42","7","28","1227106"
"HARYANA","","139","707","1053432","","1042012 [194] ↑  98.92%","10690","966","4535","12427","45247399"
