"Sr 
No","Name of District","Positive Cases Today","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged 
Cases","Recovery Rate (%)","No. of Deaths","No of Active Cases","COVID-19, Vaccination Status  
(NHM, Haryana)","",""
"","","","","","","","","Coverage of 
Vaccination on   
31-10-2021","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd",""
"1","Gurugram","7","181428","180454[8]","99.46","922","52","291","1710","3570228"
"2","Faridabad","1","99902","99157","99.25","716","29","837","1597","2499726"
"3","Hisar","0","53995","52857","97.89","1136","2","126","163","1326371"
"4","Sonepat","0","47138","46884","99.46","254","0","778","2182","1400851"
"5","Karnal","1","40037","39484","98.62","552","1","643","235","1451990"
"6","Panipat","1","31150","30510","97.95","638","2","378","1057","1103975"
"7","Panchkula","1","30770","30379[2]","98.73","378","13","126","1031","736620"
"8","Ambala","0","30150","29639","98.31","509","2","108","699","1444719"
"9","Sirsa","0","29282","28771","98.25","508","3","54","102","1065125"
"10","Rohtak","0","25903","25350","97.87","534","2","443","1059","979908"
"11","Yamunanagar","0","24631","24215","98.31","414","2","102","185","1171794"
"12","Bhiwani","0","22409","21757","97.09","652","0","584","2480","1058877"
"13","Kurukshetra","0","22147","21789","98.38","357","1","64","233","858505"
"14","Mahindergarh","0","21689","21534","99.29","155","0","208","596","841438"
"15","Jind","0","21209","20675","97.48","533","1","709","687","955367"
"16","Rewari","0","20327","20106","98.91","221","0","91","305","943643"
"17","Jhajjar","0","18849","18514","98.22","328","1","552","1081","977661"
"18","Fatehabad","0","17875","17394","97.31","481","0","15","40","776294"
"19","Kaithal","0","11244","10898","96.92","346","0","77","152","832607"
"20","Palwal","0","11025","10872","98.61","153","0","524","335","830618"
"21","Charkhi Dadri","0","5078","4939","97.26","139","0","3","78","626783"
"22","Nuh","0","5014","4890","97.53","123","1","2134","623","432088"
"Total","","11","771252","761068[10]","98.68","10049","112","8847","16630","25885188"
