"District","Positive Cases 
declared today","Declared Negative 
today","Positive cases 
admitted in 
the district"
"Thiruvananthapuram","332","517","3507"
"Kollam","152","835","1814"
"Pathanamthitta","120","206","1171"
"Alappuzha","113","392","1464"
"Kottayam","194","427","2748"
"Idukki","111","444","1937"
"Ernakulam","324","718","4661"
"Thrissur","135","462","2281"
"Palakkad","77","230","645"
"Malappuram","81","228","1635"
"Kozhikode","186","351","2355"
"Wayanad","63","295","1103"
"Kannur","89","90","933"
"Kasaragod","33","88","306"
"Total","2010","5283","26560"
