"Sl. 
No","District","Total Positive 
Cases","Discharged","Active 
Cases","Death"
"1","Ariyalur","19883","19616","0","267"
"2","Chengalpattu","235470","232780","32","2658"
"3","Chennai","751212","742049","95","9068"
"4","Coimbatore","329950","327316","17","2617"
"5","Cuddalore","74256","73357","4","895"
"6","Dharmapuri","36191","35908","0","283"
"7","Dindigul","37478","36812","1","665"
"8","Erode","132667","131933","0","734"
"9","Kallakurichi","36521","36306","0","215"
"10","Kancheepuram","94399","93086","11","1302"
"11","Kanyakumari","86227","85136","6","1085"
"12","Karur","29754","29381","1","372"
"13","Krishnagiri","59635","59263","2","370"
"14","Madurai","91034","89793","5","1236"
"15","Mayiladuthurai","26496","26166","0","330"
"16","Nagapattinam","25441","25066","0","375"
"17","Namakkal","68006","67470","2","534"
"18","Nilgiris","42130","41903","1","226"
"19","Perambalur","14461","14212","0","249"
"20","Pudukottai","34466","34040","0","426"
"21","Ramanathapuram","24676","24308","0","368"
"22","Ranipet","53921","53132","2","787"
"23","Salem","127375","125606","7","1762"
"24","Sivagangai","23829","23607","3","219"
"25","Tenkasi","32745","32255","0","490"
"26","Thanjavur","92157","91110","8","1039"
"27","Theni","50601","50068","0","533"
"28","Thirupathur","35735","35101","1","633"
"29","Thiruvallur","147464","145512","13","1939"
"30","Thiruvannamalai","66812","66126","1","685"
"31","Thiruvarur","48013","47540","1","472"
"32","Thoothukudi","64958","64507","3","448"
"33","Tirunelveli","62766","62320","1","445"
"34","Tiruppur","129931","128876","3","1052"
"35","Trichy","94948","93784","3","1161"
"36","Vellore","57305","56141","1","1163"
"37","Villupuram","54584","54218","0","366"
"38","Virudhunagar","56834","56279","1","554"
"39","Airport Surveillance 
(International)","1249","1244","4","1"
"40","Airport Surveillance 
(Domestic)","1104","1103","0","1"
"41","Railway Surveillance","428","428","0","0"
"Grand Total","","34,53,112","34,14,858","229","38,025"
