"Districts","Samples 
Sent to 
Labs 
Today","Negative","","Positive","","Cumulative 
Samples 
Tested 
Since 
01.01.2022","Results 
Awaited 
(including sample 
sent to labs today)"
"","","Negative 
in last 24 
hours","Negative 
Cumulative 
Since 
01.01.2022","Positive 
in last 24 
hours","Positive 
Cumulative 
Since 
01.01.2022","",""
"Almora","27","35","67829","5","4757","72580","4"
"Bageshwar","53","55","37646","0","2140","39782","7"
"Chamoli","25","17","50653","2","3295","53946","0"
"Champawat","58","10","64173","0","1968","66138","0"
"Dehradun","502","415","399476","115","37341","436682","76"
"Haridwar","143","346","318958","25","13798","332726","32"
"Nainital","143","75","99627","40","12428","111985","18"
"Pauri Garhwal","214","209","103400","11","5456","108849","2"
"Pithoragarh","24","15","43821","4","2627","46436","0"
"Rudraprayag","34","0","29503","1","2879","32382","0"
"Tehri Garhwal","60","50","43734","1","2569","46296","12"
"US Nagar","76","116","147349","12","9131","156456","22"
"Uttarkashi","42","174","46012","23","1868","47878","0"
"Total","1401","1517","1452181","239","100257","1552136","173"
