,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeOtherNumberForDistrict,cumulativeOtherNumberForState
0,2022-03-12,AP,Anantapur,,,,177353,1105,176161,,2022-04-06T22:35:07.332266+05:30,,,,2318801,14730,2303438,,0,0
1,2022-03-12,AP,Chittoor,,,,272349,2000,270304,,2022-04-06T22:35:07.332266+05:30,,,,2318801,14730,2303438,,0,0
2,2022-03-12,AP,East Godavari,,,,316454,1298,314952,,2022-04-06T22:35:07.332266+05:30,,,,2318801,14730,2303438,,0,0
3,2022-03-12,AP,Guntur,,,,203205,1277,201863,,2022-04-06T22:35:07.332266+05:30,,,,2318801,14730,2303438,,0,0
4,2022-03-12,AP,YSR Kadapa,,,,134875,652,134206,,2022-04-06T22:35:07.332266+05:30,,,,2318801,14730,2303438,,0,0
5,2022-03-12,AP,Krishna,,,,136868,1496,135318,,2022-04-06T22:35:07.332266+05:30,,,,2318801,14730,2303438,,0,0
6,2022-03-12,AP,Kurnool,,,,144241,867,143368,,2022-04-06T22:35:07.332266+05:30,,,,2318801,14730,2303438,,0,0
7,2022-03-12,AP,S.P.S. Nellore,,,,164349,1090,163236,,2022-04-06T22:35:07.332266+05:30,,,,2318801,14730,2303438,,0,0
8,2022-03-12,AP,Prakasam,,,,155911,1146,154752,,2022-04-06T22:35:07.332266+05:30,,,,2318801,14730,2303438,,0,0
9,2022-03-12,AP,Srikakulam,,,,133932,798,133128,,2022-04-06T22:35:07.332266+05:30,,,,2318801,14730,2303438,,0,0
10,2022-03-12,AP,Visakhapatnam,,,,190859,1184,189640,,2022-04-06T22:35:07.332266+05:30,,,,2318801,14730,2303438,,0,0
11,2022-03-12,AP,Vizianagaram,,,,92231,680,91540,,2022-04-06T22:35:07.332266+05:30,,,,2318801,14730,2303438,,0,0
12,2022-03-12,AP,West Godavari,,,,193279,1137,192075,,2022-04-06T22:35:07.332266+05:30,,,,2318801,14730,2303438,,0,0
14,2022-03-12,AP,Other States,,,,2461,0,2461,,2022-04-06T22:35:07.332266+05:30,,,,2318801,14730,2303438,,0,0
15,2022-03-12,AP,Other Countries,,,,434,0,434,,2022-04-06T22:35:07.332266+05:30,,,,2318801,14730,2303438,,0,0
