"District Name","New 
Cases","New 
Recoveries","New 
Deaths","Total 
Cases","Total 
Deaths","Total 
Active 
Cases","Number of 
Persons 
Hospitalized"
"East Garo Hills","2","0","0","2078","19","5","0"
"East Jaintia Hills","2","1","0","2669","39","12","0"
"East Khasi Hills","11","11","0","47770","1077","49","14"
"Eastern West Khasi Hills","0","0","0","156","9","0","0"
"North Garo Hills","3","0","0","1918","10","4","0"
"Ri-Bhoi","5","3","0","10539","101","20","4"
"South Garo Hills","1","5","0","1430","14","11","1"
"South West Garo Hills","6","2","0","2240","21","18","0"
"South West Khasi Hills","4","2","0","2716","20","10","3"
"West Garo Hills","9","23","0","11744","84","308","8"
"West Jaintia Hills","3","6","0","7310","141","27","4"
"West Khasi Hills","0","1","0","5670","78","0","0"
"Total","46","54","0","96240","1613","464","34"
