"","","","","","","","","",""
"","","","","","","","","",""
"Districtwise Abstract of COVID-19","","","","","","","","",""
"Sl. 
No","District Name","Today’s 
Positives","Total 
Positives","Today’s 
Discharges","Total 
Discharges","Total 
Active 
Cases","Today’s 
Reported 
Covid 
Deaths","Total 
Covid 
Deaths","Death 
due to 
 Non-
Covid 
reasons#"
"1","Bagalakote","187","38093","95","35844","1909","0","340","0"
"2","Ballari","709","109662","849","101960","6006","0","1696","0"
"3","Belagavi","725","89400","1203","82440","5996","3","964","0"
"4","Bengaluru Rural","558","76540","1201","68618","7020","1","902","0"
"5","Bengaluru Urban","15199","1681674","44866","1504941","160178","8","16554","1"
"6","Bidar","194","28461","249","26527","1523","1","407","4"
"7","Chamarajanagara","618","40050","461","34722","4807","1","510","11"
"8","Chikkaballapura","427","53207","542","47624","5139","0","443","1"
"9","Chikkamagaluru","283","55524","353","53330","1795","0","399","0"
"10","Chitradurga","192","42524","283","40017","2289","1","218","0"
"11","Dakshina 
Kannada","516","131128","791","124424","4965","4","1732","7"
"12","Davanagere","186","55915","377","53295","2009","1","611","0"
"13","Dharwada","1500","76596","1041","68742","6522","0","1330","2"
"14","Gadag","171","29344","328","27164","1855","1","325","0"
"15","Hassana","1037","137542","2218","128105","8150","5","1285","2"
"16","Haveri","179","23858","280","22376","833","2","649","0"
"17","Kalaburagi","406","72683","475","65715","6122","1","846","0"
"18","Kodagu","371","44293","483","40270","3680","1","342","1"
"19","Kolara","452","60094","1380","53083","6366","1","645","0"
"20","Koppala","227","39043","238","36372","2141","1","530","0"
"21","Mandya","963","95706","2245","88202","6837","0","667","0"
"22","Mysuru","1877","215890","3762","201395","12022","8","2473","0"
"23","Raichuru","225","43777","521","41448","1989","0","340","0"
"24","Ramanagara","262","28497","532","26954","1209","2","334","0"
"25","Shivamogga","509","77249","325","71975","4172","3","1101","1"
"26","Tumakuru","1315","151122","3503","138379","11580","4","1163","0"
"27","Udupi","818","91665","1421","85059","6104","0","502","0"
"28","Uttara Kannada","760","65883","675","62021","3074","1","788","0"
"29","Vijayapura","125","39271","224","37273","1499","0","499","0"
"30","Yadagiri","207","28967","171","27785","976","0","206","0"
"31","Others*","0","36","0","33","0","0","3","0"
"Total","","31198","3723694","71092","3396093","288767","50","38804","30"
"*Others include Cases of other States and International Quarantined Passengers. 
#Cumulative total of Non COVID deaths reported till today. 
 
Date: 28-01-2022 
 Page 5 of 139","","","","","","","","",""
