"S. No.","District","Total Confirmed
Cases","Total Active
Cases","Total Cured","Deaths"
"1","Ludhiana","106210","5884","98132","2194"
"2","SAS Nagar","90431","7777","81542","1112"
"3","Jalandhar","75425","3523","70365","1537"
"4","Patiala","61256","1535","58298","1423"
"5","Amritsar","57364","3270","52453","1641"
"6","Bathinda","49045","2753","45227","1065"
"7","Hoshiarpur","38429","3211","34187","1031"
"8","Gurdaspur","26112","1072","24204","836"
"9","Pathankot","23432","787","22190","455"
"10","Fazilka","22087","1295","20258","534"
"11","Kapurthala","21059","1000","19500","559"
"12","Muktsar","20895","1239","19128","528"
"13","Sangrur","17749","396","16461","892"
"14","Mansa","16966","582","15997","387"
"15","Ferozepur","16879","868","15494","517"
"16","Ropar","16877","1087","15360","430"
"17","Faridkot","15892","889","14678","325"
"18","SBS Nagar","13079","444","12242","393"
"19","FG Sahib","11467","423","10696","348"
"20","Tarn Taran","10147","1108","8654","385"
"21","Moga","10141","801","9101","239"
"22","Barnala","7100","375","6475","250"
"","Total","728042","40319","670642","17081"
