"Sr 
No","Name of District","Positive Cases Today","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged 
Cases","Recovery Rate (%)","No. of Deaths","No of Active Cases","COVID-19, Vaccination Status  
(NHM, Haryana)","",""
"","","","","","","","","Coverage of 
Vaccination on 
19-12-2021","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd",""
"1","Gurugram","16","181957","180932[16]","99.44","926","99","1274","5901","4100795"
"2","Faridabad","5","100025","99275[4]","99.25","717","33","900","4719","2935875"
"3","Hisar","0","54002","52865","97.89","1137","0","477","2263","1578356"
"4","Sonepat","0","47145","46891","99.46","254","0","582","1971","1652943"
"5","Karnal","0","40059","39494","98.59","554","11","156","1149","1705684"
"6","Panipat","0","31158","30517","97.94","638","3","858","3286","1402923"
"7","Panchkula","9","30903","30486[5]","98.65","381","36","84","574","838797"
"8","Ambala","0","30156","29645","98.31","509","2","524","6740","1708350"
"9","Sirsa","1","29301","28788","98.25","508","5","215","509","1325432"
"10","Rohtak","0","25923","25368[1]","97.86","534","4","532","1081","1184169"
"11","Yamunanagar","1","24661","24239","98.29","414","8","126","884","1348763"
"12","Bhiwani","0","22411","21758","97.09","652","1","146","1402","1338846"
"13","Kurukshetra","1","22162","21803","98.38","357","2","211","914","1027942"
"14","Mahindergarh","0","21689","21534","99.29","155","0","81","682","995368"
"15","Jind","0","21210","20677","97.49","533","0","2013","2709","1188062"
"16","Rewari","0","20330","20108","98.91","221","1","227","1484","1166854"
"17","Jhajjar","0","18850","18516","98.23","328","0","269","1452","1166802"
"18","Fatehabad","0","17880","17398","97.30","482","0","100","557","891008"
"19","Kaithal","0","11251","10901","96.89","346","4","314","696","1079748"
"20","Palwal","0","11031","10877","98.60","153","1","680","1353","1068594"
"21","Charkhi Dadri","0","5079","4940","97.26","139","0","88","188","694816"
"22","Nuh","0","5014","4891","97.55","123","0","806","1289","786165"
"Haryana","","33","772197","761903[26]","98.67","10061","210","10663","41803","31186292"
