"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","1568","112044","1243","108732","20","2999","313"
"2","SAS Nagar","2549","98238","1916","96449","11","1159","630"
"3","Jalandhar","1037","79302","667","77005","6","1946","351"
"4","Patiala","996","63076","724","61107","2","1713","256"
"5","Amritsar","497","60052","365","58073","2","1842","137"
"6","Bathinda","636","51503","401","49844","1","1424","235"
"7","Hoshiarpur","291","41433","205","39937","4","1404","92"
"8","Gurdaspur","162","27089","129","26202","2","866","21"
"9","Pathankot","267","24778","186","24201","0","517","60"
"10","Fazilka","183","23617","160","22963","0","621","33"
"11","Muktsar","78","22630","60","22070","0","539","21"
"12","Kapurthala","201","22230","143","21585","1","593","52"
"13","Ropar","329","18267","230","17713","1","456","98"
"14","Ferozepur","171","18064","135","17495","2","539","30"
"15","Mansa","119","17344","92","16928","1","393","23"
"16","Faridkot","196","17031","179","16600","3","413","18"
"17","Sangrur","131","14565","78","13651","1","861","53"
"18","SBS Nagar","147","13549","109","13097","0","409","43"
"19","FG Sahib","305","12220","222","11702","1","437","81"
"20","Moga","64","11063","40","10771","2","268","24"
"21","Tarn Taran","44","10944","34","10539","0","398","7"
"22","Barnala","80","7580","72","7210","0","357","13"
"23","Malerkotla","31","4035","26","3817","1","213","5"
"","Total","10082","770654","7416","747691","61","20367","2596"
