"District","Positive Cases 
declared today","Declared Negative 
today","Positive cases 
admitted in 
the district"
"Thiruvananthapuram","1087","5811","12649"
"Kollam","812","1540","7819"
"Pathanamthitta","447","542","4387"
"Alappuzha","567","1360","5968"
"Kottayam","731","2680","10237"
"Idukki","420","743","7384"
"Ernakulam","1696","2783","17024"
"Thrissur","746","1832","8850"
"Palakkad","343","821","3721"
"Malappuram","405","1183","6553"
"Kozhikode","610","1420","7052"
"Wayanad","332","780","3430"
"Kannur","357","950","3246"
"Kasaragod","102","262","1104"
"Total","8655","22707","99424"
