"Sr 
No","Name of District","Positive Cases Today","No of Active Cases","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged Cases","Recovery Rate (%)","No. of Deaths","COVID-19, Vaccination Status  
(NHM, Haryana)*","","",""
"","","","","","","","","Coverage of Vaccination  
on 18-04-2022","","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd","Precaution 
Dose",""
"1","Gurugram","198","781","262601","260814[136]","99.32","1006","1034","2858","1943","5123581"
"2","Faridabad","21","153","127272","126380[11]","99.30","739","2629","2255","694","3900082"
"3","Hisar","0","0","62049","60874","98.11","1175","110","912","215","2309040"
"4","Sonepat","7","11","58579","58292","99.51","276","399","845","139","2233341"
"5","Karnal","1","6","48178","47576","98.75","596","317","953","192","2316681"
"6","Panipat","0","2","36061","35387","98.13","672","976","828","149","2004248"
"7","Panchkula","0","3","44143","43726","99.06","414","247","237","182","1078824"
"8","Ambala","3","3","40761","40216","98.66","542","223","1289","229","2068528"
"9","Sirsa","0","0","33372","32833","98.38","539","260","634","93","1902841"
"10","Rohtak","1","1","31825","31270[1]","98.26","537","86","780","221","1658786"
"11","Yamunanagar","0","2","30651","30194","98.51","455","364","867","268","1891646"
"12","Bhiwani","0","1","26489","25823","97.49","665","163","550","104","1724609"
"13","Kurukshetra","0","3","26826","26425","98.51","398","792","1409","193","1487887"
"14","Mahindergarh","0","0","24754","24589","99.33","165","264","374","300","1349577"
"15","Jind","1","2","24350","23806","97.77","542","157","1080","80","1672938"
"16","Rewari","1","2","24591","24365","99.08","224","420","411","315","1525511"
"17","Jhajjar","0","0","23426","23070","98.48","350","222","553","154","1544342"
"18","Fatehabad","1","2","20062","19562","97.51","498","50","268","37","1183183"
"19","Kaithal","0","0","14229","13858","97.39","371","60","525","95","1698646"
"20","Palwal","0","1","13476","13305","98.73","170","479","888","100","1492063"
"21","Charkhi Dadri","0","0","7427","7282","98.05","145","20","268","328","859019"
"22","Nuh","0","1","6108","5968","97.71","139","12","63","7","1218521"
"Haryana","","234","974","987230","975615[148]","98.82","10618","9284","18847","6038","42243894"
