"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","1,66,878"
"2","Number of persons tested positive today in Tamil Nadu","11,981"
"","Passengers returned from other countries  by 
International airport tested positive today","UAE - 3 
Sri Lanka - 1"
"","Passengers returned from other states  by Road tested 
positive today","West Bengal - 4 
Andhra Pradesh - 1 
Kerala - 1 
Bihar - 1 
Jharkhand - 1"
"","Total","11,993"
"3","Total Number of persons tested positive till date","33,87,322"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","1,30,841/ 
6,21,47,423@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","1,23,146/ 
6,10,48,159"
"6","No. of Male / Female / Transgender tested positive today","7,110/4,883/0"
"7","No. of Male / Female / Transgender tested positive till date","19,76,592/14,10,692/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","331 (69 Govt+ 
262 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","23,084/ 
31,82,778"
"10","Total number of deaths today/ till date","30(12 Private &  
18 Govt) /37,666"
