,District,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
0,Alluri Sitharama Raju,0,0,0,0,2316693,14730,2304861,33489440
1,Anakapalli,0,0,0,0,2316693,14730,2304861,33489440
2,Anantapur,177611,0,0,0,2316693,14730,2304861,33489440
3,Annamayya,0,0,0,0,2316693,14730,2304861,33489440
4,Bapatla,0,0,0,0,2316693,14730,2304861,33489440
5,Chittoor,272394,0,0,0,2316693,14730,2304861,33489440
6,East Godavari,316586,0,0,0,2316693,14730,2304861,33489440
7,Eluru,1,0,0,0,2316693,14730,2304861,33489440
8,Guntur,203245,0,0,0,2316693,14730,2304861,33489440
9,Kakinada,0,0,0,0,2316693,14730,2304861,33489440
10,Konaseema,0,0,0,0,2316693,14730,2304861,33489440
11,Krishna,136896,0,0,0,2316693,14730,2304861,33489440
12,Kurnool,144244,0,0,0,2316693,14730,2304861,33489440
13,Nandyal,0,0,0,0,2316693,14730,2304861,33489440
14,NTR District,4,0,0,0,2316693,14730,2304861,33489440
15,Palnadu,0,0,0,0,2316693,14730,2304861,33489440
16,Parvathipuram Manyam,0,0,0,0,2316693,14730,2304861,33489440
17,Prakasam,155937,0,0,0,2316693,14730,2304861,33489440
18,S.P.S. Nellore,164375,0,0,0,2316693,14730,2304861,33489440
19,Sri Sathya Sai,0,0,0,0,2316693,14730,2304861,33489440
20,Srikakulam,133952,0,0,0,2316693,14730,2304861,33489440
21,Tirupati,0,0,0,0,2316693,14730,2304861,33489440
22,Visakhapatnam,190940,0,0,0,2316693,14730,2304861,33489440
23,Vizianagaram,92242,0,0,0,2316693,14730,2304861,33489440
24,West Godavari,193378,0,0,0,2316693,14730,2304861,33489440
25,Y.S.R. Kadapa,134888,0,0,0,2316693,14730,2304861,33489440
