"Sl. 
No","District","Total Positive 
Cases","Discharged","Active 
Cases","Death"
"1","Ariyalur","19838","19355","216","267"
"2","Chengalpattu","233836","228218","2967","2651"
"3","Chennai","747200","732408","5746","9046"
"4","Coimbatore","327700","319790","5303","2607"
"5","Cuddalore","74024","72543","589","892"
"6","Dharmapuri","36048","35396","369","283"
"7","Dindigul","37397","36473","260","664"
"8","Erode","132052","129554","1766","732"
"9","Kallakurichi","36464","35974","276","214"
"10","Kancheepuram","94056","91890","864","1302"
"11","Kanyakumari","85902","83403","1415","1084"
"12","Karur","29638","28913","353","372"
"13","Krishnagiri","59428","58295","763","370"
"14","Madurai","90866","89181","452","1233"
"15","Mayiladuthurai","26450","26017","105","328"
"16","Nagapattinam","25353","24662","319","372"
"17","Namakkal","67685","66040","1112","533"
"18","Nilgiris","41689","40867","597","225"
"19","Perambalur","14435","14075","111","249"
"20","Pudukottai","34362","33624","313","425"
"21","Ramanathapuram","24609","24029","214","366"
"22","Ranipet","53814","52580","447","787"
"23","Salem","126864","123319","1790","1755"
"24","Sivagangai","23665","23150","297","218"
"25","Tenkasi","32691","32092","109","490"
"26","Thanjavur","91880","89990","854","1036"
"27","Theni","50555","49732","291","532"
"28","Thirupathur","35684","34818","233","633"
"29","Thiruvallur","146874","143261","1680","1933"
"30","Thiruvannamalai","66613","65382","548","683"
"31","Thiruvarur","47863","46762","632","469"
"32","Thoothukudi","64820","64131","244","445"
"33","Tirunelveli","62627","61636","546","445"
"34","Tiruppur","129346","126305","1991","1050"
"35","Trichy","94579","92171","1251","1157"
"36","Vellore","57081","55679","240","1162"
"37","Villupuram","54431","53723","342","366"
"38","Virudhunagar","56705","55819","332","554"
"39","Airport Surveillance 
(International)","1240","1225","14","1"
"40","Airport Surveillance 
(Domestic)","1104","1103","0","1"
"41","Railway Surveillance","428","428","0","0"
"Grand Total","","34,37,896","33,64,013","35,951","37,932"
