,District,cumulativeConfirmedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeDeceasedNumberForDistrict,Date,State/UTCode,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,last_updated,cumulativeTestedNumberForState,tested_last_updated_state,deltaTestedForState,cumulativeVaccinatedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinated3NumberForState,cumulativeVaccinatedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinated3NumberForDistrict,tested_source_state,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaVaccinated3ForState,deltaVaccinated2ForState,deltaVaccinated1ForState,deltaVaccinatedForState,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinated3ForDistrict,deltaVaccinatedForDistrict,deltaConfirmedForDistrict,deltaRecoveredForDistrict,deltaDeceasedForDistrict,7DmaTestedForState,delta21_14confirmedForState,statePopulation,StateName,districtPopulation
0,Andaman and Nicobar Islands,9981,9735,129,2022-02-15,TT,42692943,509358,41760458,2022-02-15 12:51:14.968834,753033302,2022-02-14 00:00:00,1229536,1733710320,959202902,757741272,16766146,654023,328168,318075,7780,https://www.icmr.gov.in/,27409,347,82817,322257,3511723,862249,4696229,47,338,170,555,0,10,0,,,1332900000,Andaman and Nicobar Islands,397000
1,Andhra Pradesh,2313212,2283788,14698,2022-02-15,TT,42692943,509358,41760458,2022-02-15 12:51:14.968834,753033302,2022-02-14 00:00:00,1229536,1733710320,959202902,757741272,16766146,83489347,42997705,39277874,1213768,https://www.icmr.gov.in/,27409,347,82817,322257,3511723,862249,4696229,9551,191164,28788,229503,434,4636,1,,,1332900000,Andhra Pradesh,52221000
2,Arunachal Pradesh,64066,63233,294,2022-02-15,TT,42692943,509358,41760458,2022-02-15 12:51:14.968834,753033302,2022-02-14 00:00:00,1229536,1733710320,959202902,757741272,16766146,1605089,883265,700651,21173,https://www.icmr.gov.in/,27409,347,82817,322257,3511723,862249,4696229,672,2387,276,3335,62,152,0,,,1332900000,Arunachal Pradesh,1504000
3,Assam,723693,713444,6610,2022-02-15,TT,42692943,509358,41760458,2022-02-15 12:51:14.968834,753033302,2022-02-14 00:00:00,1229536,1733710320,959202902,757741272,16766146,42601363,23308764,19070694,221905,https://www.icmr.gov.in/,27409,347,82817,322257,3511723,862249,4696229,12651,89703,4994,107348,198,400,5,,,1332900000,Assam,34293000
4,Bihar,829050,815574,12252,2022-02-15,TT,42692943,509358,41760458,2022-02-15 12:51:14.968834,753033302,2022-02-14 00:00:00,1229536,1733710320,959202902,757741272,16766146,116634581,65632762,50340747,661072,https://www.icmr.gov.in/,27409,347,82817,322257,3511723,862249,4696229,89737,248396,11089,349222,99,149,1,,,1332900000,Bihar,119520000
5,Chandigarh,91369,89658,1153,2022-02-15,TT,42692943,509358,41760458,2022-02-15 12:51:14.968834,753033302,2022-02-14 00:00:00,1229536,1733710320,959202902,757741272,16766146,2014211,1120141,871941,22129,https://www.icmr.gov.in/,27409,347,82817,322257,3511723,862249,4696229,540,1905,363,2808,31,95,1,,,1332900000,Chandigarh,1179000
6,Chhattisgarh,1146844,1126439,14011,2022-02-15,TT,42692943,509358,41760458,2022-02-15 12:51:14.968834,753033302,2022-02-14 00:00:00,1229536,1733710320,959202902,757741272,16766146,35662100,19521309,15811224,329567,https://www.icmr.gov.in/,27409,347,82817,322257,3511723,862249,4696229,14512,123848,5546,143906,571,2081,5,,,1332900000,Chhattisgarh,28724000
7,Dadra and Nagar Haveli and Daman and Diu,11430,11398,4,2022-02-15,TT,42692943,509358,41760458,2022-02-15 12:51:14.968834,753033302,2022-02-14 00:00:00,1229536,1733710320,959202902,757741272,16766146,1351808,753316,591351,7141,https://www.icmr.gov.in/,27409,347,82817,322257,3511723,862249,4696229,246,874,141,1261,0,2,0,,,1332900000,Dadra and Nagar Haveli and Daman and Diu,959000
8,Delhi,1851906,1822414,26076,2022-02-15,TT,42692943,509358,41760458,2022-02-15 12:51:14.968834,753033302,2022-02-14 00:00:00,1229536,1733710320,959202902,757741272,16766146,30620684,17193812,13055232,371640,https://www.icmr.gov.in/,27409,347,82817,322257,3511723,862249,4696229,13013,72735,7608,93356,586,1092,4,,,1332900000,Delhi,19814000
9,Goa,244202,238287,3774,2022-02-15,TT,42692943,509358,41760458,2022-02-15 12:51:14.968834,753033302,2022-02-14 00:00:00,1229536,1733710320,959202902,757741272,16766146,2630302,1389307,1212461,28534,https://www.icmr.gov.in/,27409,347,82817,322257,3511723,862249,4696229,1,17,27,45,30,221,1,,,1332900000,Goa,1540000
10,Gujarat,1216330,1192841,10822,2022-02-15,TT,42692943,509358,41760458,2022-02-15 12:51:14.968834,753033302,2022-02-14 00:00:00,1229536,1733710320,959202902,757741272,16766146,101167823,51755727,47587558,1824538,https://www.icmr.gov.in/,27409,347,82817,322257,3511723,862249,4696229,35961,133639,35924,205524,1040,2570,14,,,1332900000,Gujarat,67936000
11,Haryana,974273,957934,10492,2022-02-15,TT,42692943,509358,41760458,2022-02-15 12:51:14.968834,753033302,2022-02-14 00:00:00,1229536,1733710320,959202902,757741272,16766146,40451272,22744369,17499040,207863,https://www.icmr.gov.in/,27409,347,82817,322257,3511723,862249,4696229,16523,76821,4450,97794,751,1472,6,,,1332900000,Haryana,28672000
12,Himachal Pradesh,280648,273149,4083,2022-02-15,TT,42692943,509358,41760458,2022-02-15 12:51:14.968834,753033302,2022-02-14 00:00:00,1229536,1733710320,959202902,757741272,16766146,12321793,6309886,5866188,145719,https://www.icmr.gov.in/,27409,347,82817,322257,3511723,862249,4696229,1912,9520,5665,17097,379,771,0,,,1332900000,Himachal Pradesh,7300000
13,Jammu and Kashmir,451016,441368,4745,2022-02-15,TT,42692943,509358,41760458,2022-02-15 12:51:14.968834,753033302,2022-02-14 00:00:00,1229536,1733710320,959202902,757741272,16766146,21161517,10678575,10233881,249061,https://www.icmr.gov.in/,27409,347,82817,322257,3511723,862249,4696229,6285,36467,6399,49151,245,808,0,,,1332900000,Jammu and Kashmir,13203000
14,Jharkhand,433415,426622,5315,2022-02-15,TT,42692943,509358,41760458,2022-02-15 12:51:14.968834,753033302,2022-02-14 00:00:00,1229536,1733710320,959202902,757741272,16766146,35911371,21973939,13739537,197895,https://www.icmr.gov.in/,27409,347,82817,322257,3511723,862249,4696229,27384,67791,3619,98794,157,298,1,,,1332900000,Jharkhand,37403000
