"S. No","Subject","Number"
"1","Total Number of people vaccinated on 22nd Dec","4,24,802"
"2","First Dose on 22nd Dec","31,801"
"3","Second Dose on 22nd Dec","3,93,001"
"4","Cumulative Vaccination till 22nd Dec","10,03,80,062"
"5","Cumulative Vaccination First Dose","6,41,74,603"
"6","Cumulative Vaccination Second Dose","3,62,05,459"
"7","Number of CVC (Common Vaccination Centres)","4,881"
"8","Cumulative AEFI cases reported","6,090"
"9","Vaccine wastage","-7%"
