"S. No","Subject","Number"
"1","Samples Tested on 22nd Dec","36,370"
"2","Total Number of Samples Tested till 22nd Dec","2,10,96,213"
"3","Positivity Rate as on 22nd Dec","1.47%"
"4","Tests per Million population","2,34,402"
"5","Total Testing Laboratories*","155"
"6","RT-PCR/Antigen Test Ratio","49:51"
