"Sr 
No","Name of District","Positive Cases Today","No of Active Cases","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged Cases","Recovery Rate (%)","No. of Deaths","COVID-19, Vaccination Status  
(NHM, Haryana)*","","",""
"","","","","","","","","Coverage of Vaccination  
on 05-04-2022","","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd","Precaution 
Dose",""
"1","Gurugram","55","190","261121","259925[46]","99.54","1006","969","1204","395","5076937"
"2","Faridabad","10","33","127071","126299[5]","99.39","739","1094","840","278","3869945"
"3","Hisar","0","0","62047","60872","98.11","1175","295","1047","40","2296633"
"4","Sonepat","4","14","58555","58265[1]","99.50","276","231","318","55","2224635"
"5","Karnal","0","1","48172","47575","98.76","596","264","548","77","2305583"
"6","Panipat","0","1","36059","35386","98.13","672","188","535","54","1992607"
"7","Panchkula","0","2","44134","43718[2]","99.06","414","566","195","207","1071110"
"8","Ambala","0","0","40758","40216","98.67","542","892","931","234","2054885"
"9","Sirsa","0","0","33372","32833","98.38","539","235","929","50","1895509"
"10","Rohtak","0","2","31823","31267","98.25","537","60","462","28","1649773"
"11","Yamunanagar","0","2","30649","30192","98.51","455","504","1206","103","1877708"
"12","Bhiwani","0","1","26487","25821","97.49","665","200","725","39","1715848"
"13","Kurukshetra","0","0","26822","26425","98.52","397","260","427","75","1471042"
"14","Mahindergarh","0","0","24754","24589","99.33","165","470","239","119","1344291"
"15","Jind","0","1","24348","23805[1]","97.77","542","40","526","54","1656074"
"16","Rewari","0","0","24589","24365","99.09","224","148","172","69","1519911"
"17","Jhajjar","0","0","23426","23070","98.48","350","235","304","52","1538350"
"18","Fatehabad","0","0","20055","19557","97.52","498","123","161","16","1181608"
"19","Kaithal","0","1","14228","13856","97.39","371","126","456","37","1691790"
"20","Palwal","0","3","13475","13302","98.72","170","232","276","23","1484564"
"21","Charkhi Dadri","0","0","7426","7281[3]","98.05","145","484","243","200","853692"
"22","Nuh","0","1","6108","5968[1]","97.71","139","27","154","4","1217159"
"Haryana","","69","252","985479","974587[59]","98.89","10617","7643","11898","2209","41989654"
