"S. No.","District","Total Confirmed
Cases","Total Active
Cases","Total Cured","Deaths"
"1","Ludhiana","87711","31","85565","2115"
"2","SAS Nagar","69039","58","67908","1073"
"3","Jalandhar","63533","17","62016","1500"
"4","Patiala","49003","21","47620","1362"
"5","Amritsar","47442","3","45840","1599"
"6","Bathinda","41809","19","40743","1047"
"7","Hoshiarpur","30992","42","29955","995"
"8","Gurdaspur","22414","9","21602","803"
"9","Fazilka","20283","1","19752","530"
"10","Pathankot","18990","23","18537","430"
"11","Muktsar","18806","4","18278","524"
"12","Kapurthala","17882","12","17314","556"
"13","Sangrur","15768","3","14890","875"
"14","Mansa","15611","1","15229","381"
"15","Ferozepur","14474","40","13930","504"
"16","Faridkot","13956","4","13632","320"
"17","Ropar","13002","9","12567","426"
"18","SBS Nagar","11476","4","11084","388"
"19","FG Sahib","8907","3","8568","336"
"20","Moga","8684","0","8450","234"
"21","Tarn Taran","8076","12","7683","381"
"22","Barnala","5956","7","5705","244"
"","Total","603814","323","586868","16623"
