"","LABORATORY DATA  
 
 
 
Genome Sequencing details till today 
Alpha / B.1.1.7  
 
Beta / B.1.351  
Delta / B.1.617.2  
Delta sub-lineages 
Kappa / B.1.617.1  
ETA / B.1.525 
Omicron / B.1.1.529","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","155","","","","",""
"","","","","","","","08","","","","",""
"","","","","","","","2095","","","","",""
"","","","","","","","558","","","","",""
"","","","","","","","160","","","","",""
"","","","","","","","01","","","","",""
"","","","","","","","14","","","","",""
"","*Data received from SSU.   
 
Date: 19-12-2021","","","","","","","","","","Page 2 of 8",""
"","","","","","","","","","","","",""
