"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","Districtwise Abstract of COVID-19","","","","","","","","","",""
"","Sl. 
No","District Name","Today’s 
Positives","Total 
Positives","Today’s 
Discharges","Total 
Discharges","Total 
Active 
Cases","Today’s 
Reported 
Covid 
Deaths","Total 
Covid 
Deaths","Death 
due to 
 Non-
Covid 
reasons#",""
"","1","Bagalakote","0","35186","0","34848","5","0","333","0",""
"","2","Ballari","4","97840","5","96048","105","0","1687","0",""
"","3","Belagavi","6","80076","9","79040","90","0","946","0",""
"","4","Bengaluru Rural","1","62132","4","61209","31","0","892","0",""
"","5","Bengaluru Urban","168","1260131","148","1238093","5660","0","16377","1",""
"","6","Bidar","0","24351","0","23943","0","0","404","4",""
"","7","Chamarajanagara","1","33111","3","32582","15","0","503","11",""
"","8","Chikkaballapura","0","43991","0","43555","4","0","431","1",""
"","9","Chikkamagaluru","9","51437","9","50951","88","0","398","0",""
"","10","Chitradurga","4","36757","0","36513","34","0","210","0",""
"","11","Dakshina 
Kannada","37","116200","25","114318","183","0","1692","7",""
"","12","Davanagere","0","51026","0","50406","12","0","608","0",""
"","13","Dharwada","2","61462","5","60107","29","0","1324","2",""
"","14","Gadag","0","26074","0","25754","1","0","319","0",""
"","15","Hassana","11","112236","9","110886","89","0","1259","2",""
"","16","Haveri","0","21960","0","21316","1","0","643","0",""
"","17","Kalaburagi","0","61969","0","61138","9","0","822","0",""
"","18","Kodagu","10","37590","12","37024","232","0","333","1",""
"","19","Kolara","9","47063","0","46398","23","0","642","0",""
"","20","Koppala","0","35208","0","34670","10","0","528","0",""
"","21","Mandya","2","73914","7","73223","36","0","655","0",""
"","22","Mysuru","13","180146","30","177572","147","0","2427","0",""
"","23","Raichuru","4","39991","0","39648","10","0","333","0",""
"","24","Ramanagara","0","24220","0","23890","7","0","323","0",""
"","25","Shivamogga","2","69706","0","68518","98","0","1090","0",""
"","26","Tumakuru","7","121243","6","119980","122","0","1141","0",""
"","27","Udupi","2","76995","6","76471","34","1","490","0",""
"","28","Uttara Kannada","8","56542","0","55707","61","0","774","0",""
"","29","Vijayapura","0","36286","1","35787","4","0","495","0",""
"","30","Yadagiri","0","27548","0","27342","0","0","206","0",""
"","31","Others*","0","36","0","33","0","0","3","0",""
"","Total","","300","3002427","279","2956970","7140","1","38288","29",""
"","*Others include Cases of other States and International Quarantined Passengers. 
#Cumulative total of Non COVID deaths reported till today. 
 
 
 
Date: 19-12-2021 
 Page 5 of 8","","","","","","","","","",""
"","","","","","","","","","","",""
