"District","Positive 
Cases 
declared 
today","Declared 
Negative 
today","Positive 
cases 
admitted in 
the district","Other Districts"
"Thiruvananthapuram","929","905","8986","Kollam - 79, Pathanamthitta - 19, Alappuzha - 11, 
Kottayam - 9, Idukki - 11, Ernakulam - 7, Thrissur - 4, 
Palakkad - 3, Malappuram - 1, Kozhikode - 2, Kannur - 
3, Kasaragod - 1, Others - 51"
"Kollam","379","553","4577","Pathanamthitta - 14, Idukki - 1, Ernakulam - 1"
"Pathanamthitta","301","264","2705","Alappuzha - 1, Kottayam - 6, Idukki - 1, Ernakulam - 2, 
Thrissur - 1"
"Alappuzha","181","169","2226","Pathanamthitta - 43, Kottayam - 34, Ernakulam - 3, 
Palakkad - 5, Kannur - 1"
"Kottayam","446","727","5448","Pathanamthitta - 49, Idukki - 43, Ernakulam - 30, 
Thrissur - 1, Kannur - 2"
"Idukki","262","242","3704","Kottayam - 15, Ernakulam - 33"
"Ernakulam","1109","973","7870","Pathanamthitta - 7, Kottayam - 5, Idukki - 13, Thrissur - 
1, Palakkad - 5, Wayanad - 1, Kannur - 4, Kasaragod - 2, 
Others - 305"
"Thrissur","530","794","6193","Kollam - 1, Pathanamthitta - 1, Alappuzha - 1, Kottayam 
- 1, Idukki - 1, Ernakulam - 6, Palakkad - 26, 
Malappuram - 1, Kannur - 1, Others - 1"
"Palakkad","199","276","1880",""
"Malappuram","191","249","2670",""
"Kozhikode","600","651","7455","Thiruvananthapuram - 2, Pathanamthitta - 1, Kottayam 
- 5, Ernakulam - 13, Malappuram - 4, Wayanad - 23, 
Kannur - 61, Kasaragod - 14, Others - 1"
"Wayanad","209","191","2680","Kannur - 3"
"Kannur","335","335","3826",""
"Kasaragod","83","160","1128","Kannur - 1"
"Total","5754","6489","61348",""
