District,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,Date,tested_last_updated_district,last_updated,tested_last_updated_state,State,tested_source_district,tested_source_state,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
Bishnupur,9140,189,0,69294,2021-10-25,2021-10-25 14:00:00+05:30,2021-10-25 14:00:00+05:30,2021-10-25 14:00:00+05:30,Manipur,https://twitter.com/health_manipur,https://twitter.com/health_manipur,123333,1913,120534,1356166
Chandel,2322,37,0,31092,2021-10-25,2021-10-25 14:00:00+05:30,2021-10-25 14:00:00+05:30,2021-10-25 14:00:00+05:30,Manipur,https://twitter.com/health_manipur,https://twitter.com/health_manipur,123333,1913,120534,1356166
Churachandpur,10125,160,0,115015,2021-10-25,2021-10-25 14:00:00+05:30,2021-10-25 14:00:00+05:30,2021-10-25 14:00:00+05:30,Manipur,https://twitter.com/health_manipur,https://twitter.com/health_manipur,123333,1913,120534,1356166
Imphal East,27291,454,0,235611,2021-10-25,2021-10-25 14:00:00+05:30,2021-10-25 14:00:00+05:30,2021-10-25 14:00:00+05:30,Manipur,https://twitter.com/health_manipur,https://twitter.com/health_manipur,123333,1913,120534,1356166
Imphal West,42910,638,0,425787,2021-10-25,2021-10-25 14:00:00+05:30,2021-10-25 14:00:00+05:30,2021-10-25 14:00:00+05:30,Manipur,https://twitter.com/health_manipur,https://twitter.com/health_manipur,123333,1913,120534,1356166
Jiribam,1021,7,0,26602,2021-10-25,2021-10-25 14:00:00+05:30,2021-10-25 14:00:00+05:30,2021-10-25 14:00:00+05:30,Manipur,https://twitter.com/health_manipur,https://twitter.com/health_manipur,123333,1913,120534,1356166
Kakching,6391,111,0,58342,2021-10-25,2021-10-25 14:00:00+05:30,2021-10-25 14:00:00+05:30,2021-10-25 14:00:00+05:30,Manipur,https://twitter.com/health_manipur,https://twitter.com/health_manipur,123333,1913,120534,1356166
Kamjong,921,5,0,13069,2021-10-25,2021-10-25 14:00:00+05:30,2021-10-25 14:00:00+05:30,2021-10-25 14:00:00+05:30,Manipur,https://twitter.com/health_manipur,https://twitter.com/health_manipur,123333,1913,120534,1356166
Kangpokpi,2776,60,0,39821,2021-10-25,2021-10-25 14:00:00+05:30,2021-10-25 14:00:00+05:30,2021-10-25 14:00:00+05:30,Manipur,https://twitter.com/health_manipur,https://twitter.com/health_manipur,123333,1913,120534,1356166
Noney,1067,4,0,17274,2021-10-25,2021-10-25 14:00:00+05:30,2021-10-25 14:00:00+05:30,2021-10-25 14:00:00+05:30,Manipur,https://twitter.com/health_manipur,https://twitter.com/health_manipur,123333,1913,120534,1356166
Pherzawl,464,0,0,6931,2021-10-25,2021-10-25 14:00:00+05:30,2021-10-25 14:00:00+05:30,2021-10-25 14:00:00+05:30,Manipur,https://twitter.com/health_manipur,https://twitter.com/health_manipur,123333,1913,120534,1356166
Senapati,2225,10,0,61025,2021-10-25,2021-10-25 14:00:00+05:30,2021-10-25 14:00:00+05:30,2021-10-25 14:00:00+05:30,Manipur,https://twitter.com/health_manipur,https://twitter.com/health_manipur,123333,1913,120534,1356166
Tamenglong,3273,13,0,47329,2021-10-25,2021-10-25 14:00:00+05:30,2021-10-25 14:00:00+05:30,2021-10-25 14:00:00+05:30,Manipur,https://twitter.com/health_manipur,https://twitter.com/health_manipur,123333,1913,120534,1356166
Tengnoupal,1053,13,0,14940,2021-10-25,2021-10-25 14:00:00+05:30,2021-10-25 14:00:00+05:30,2021-10-25 14:00:00+05:30,Manipur,https://twitter.com/health_manipur,https://twitter.com/health_manipur,123333,1913,120534,1356166
Thoubal,9430,173,0,116413,2021-10-25,2021-10-25 14:00:00+05:30,2021-10-25 14:00:00+05:30,2021-10-25 14:00:00+05:30,Manipur,https://twitter.com/health_manipur,https://twitter.com/health_manipur,123333,1913,120534,1356166
Ukhrul,2924,39,0,77621,2021-10-25,2021-10-25 14:00:00+05:30,2021-10-25 14:00:00+05:30,2021-10-25 14:00:00+05:30,Manipur,https://twitter.com/health_manipur,https://twitter.com/health_manipur,123333,1913,120534,1356166
