Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinatedNumberForState,deltaVaccinatedForState,cumulativeVaccinatedNumberForDistrict,deltaVaccinatedForDistrict
2021-10-25,TN,1112,14,1341,122700,68696,117762,0,0,0,0,0,0,0,Ariyalur,2,1,5,,2285,3231,0,0,0,0,0,0,0,752481,,,,16821,261,16509,,458472,130708,2021-12-08T10:16:47.583926+05:30,75695000,,,,2696328,36033,2647504,50423638,40558399,16158306,56716705.0,186458.0,589180.0,0
2021-10-25,TN,1112,14,1341,122700,68696,117762,0,0,0,0,0,0,0,Chengalpattu,93,1,114,,2169,3872,0,0,0,0,0,0,0,2556244,,,,171243,2502,167735,,1313106,569218,2021-12-08T10:16:47.583926+05:30,75695000,,,,2696328,36033,2647504,50423638,40558399,16158306,56716705.0,186458.0,1882324.0,0
2021-10-25,TN,1112,14,1341,122700,68696,117762,0,0,0,0,0,0,0,Chennai,146,3,168,,3772,9170,0,0,0,0,0,0,0,7100000,,,,553938,8537,543776,,4862847,2725600,2021-12-08T10:16:47.583926+05:30,75695000,,,,2696328,36033,2647504,50423638,40558399,16158306,56716705.0,186458.0,7588447.0,0
2021-10-25,TN,1112,14,1341,122700,68696,117762,0,0,0,0,0,0,0,Coimbatore,132,2,151,,1448,4550,0,0,0,0,0,0,0,3472578,,,,246043,2403,242233,,2697679,1130647,2021-12-08T10:16:47.583926+05:30,75695000,,,,2696328,36033,2647504,50423638,40558399,16158306,56716705.0,186458.0,3828326.0,0
2021-10-25,TN,1112,14,1341,122700,68696,117762,0,0,0,0,0,0,0,Cuddalore,20,0,23,,6023,9046,0,0,0,0,0,0,0,2600880,,,,63976,867,62888,,1483841,553711,2021-12-08T10:16:47.583926+05:30,75695000,,,,2696328,36033,2647504,50423638,40558399,16158306,56716705.0,186458.0,2037552.0,0
2021-10-25,TN,1112,14,1341,122700,68696,117762,0,0,0,0,0,0,0,Dharmapuri,19,0,21,,747,1171,0,0,0,0,0,0,0,1502900,,,,28334,273,27817,,758314,253919,2021-12-08T10:16:47.583926+05:30,75695000,,,,2696328,36033,2647504,50423638,40558399,16158306,56716705.0,186458.0,1012233.0,0
2021-10-25,TN,1112,14,1341,122700,68696,117762,0,0,0,0,0,0,0,Dindigul,8,1,11,,1054,2900,0,0,0,0,0,0,0,2161367,,,,33049,645,32308,,1217928,439093,2021-12-08T10:16:47.583926+05:30,75695000,,,,2696328,36033,2647504,50423638,40558399,16158306,56716705.0,186458.0,1657021.0,0
2021-10-25,TN,1112,14,1341,122700,68696,117762,0,0,0,0,0,0,0,Erode,67,0,67,,1656,3310,0,0,0,0,0,0,0,2259608,,,,103893,682,102330,,1355840,509210,2021-12-08T10:16:47.583926+05:30,75695000,,,,2696328,36033,2647504,50423638,40558399,16158306,56716705.0,186458.0,1865050.0,0
2021-10-25,TN,1112,14,1341,122700,68696,117762,0,0,0,0,0,0,0,Kallakurichi,10,0,12,,1802,4582,0,0,0,0,0,0,0,1370281,,,,31308,210,30950,,675412,252317,2021-12-08T10:16:47.583926+05:30,75695000,,,,2696328,36033,2647504,50423638,40558399,16158306,56716705.0,186458.0,927729.0,0
2021-10-25,TN,1112,14,1341,122700,68696,117762,0,0,0,0,0,0,0,Kancheepuram,36,0,36,,917,2023,0,0,0,0,0,0,0,1166401,,,,74781,1256,73163,,650162,227844,2021-12-08T10:16:47.583926+05:30,75695000,,,,2696328,36033,2647504,50423638,40558399,16158306,56716705.0,186458.0,878006.0,0
2021-10-25,TN,1112,14,1341,122700,68696,117762,0,0,0,0,0,0,0,Kanyakumari,14,0,22,,966,2439,0,0,0,0,0,0,0,1863178,,,,62256,1048,61032,,1084122,401874,2021-12-08T10:16:47.583926+05:30,75695000,,,,2696328,36033,2647504,50423638,40558399,16158306,56716705.0,186458.0,1485996.0,0
2021-10-25,TN,1112,14,1341,122700,68696,117762,0,0,0,0,0,0,0,Karur,17,0,15,,625,3316,0,0,0,0,0,0,0,1076588,,,,23972,355,23448,,620879,260097,2021-12-08T10:16:47.583926+05:30,75695000,,,,2696328,36033,2647504,50423638,40558399,16158306,56716705.0,186458.0,880976.0,0
2021-10-25,TN,1112,14,1341,122700,68696,117762,0,0,0,0,0,0,0,Krishnagiri,18,0,24,,1549,2599,0,0,0,0,0,0,0,1883731,,,,43454,347,42900,,1026157,373267,2021-12-08T10:16:47.583926+05:30,75695000,,,,2696328,36033,2647504,50423638,40558399,16158306,56716705.0,186458.0,1399424.0,0
2021-10-25,TN,1112,14,1341,122700,68696,117762,0,0,0,0,0,0,0,Madurai,13,1,18,,1341,2312,0,0,0,0,0,0,0,3991038,,,,75129,1170,73749,,1475332,542952,2021-12-08T10:16:47.583926+05:30,75695000,,,,2696328,36033,2647504,50423638,40558399,16158306,56716705.0,186458.0,2018284.0,0
2021-10-25,TN,1112,14,1341,122700,68696,117762,0,0,0,0,0,0,0,Mayiladuthurai,11,0,20,,0,0,0,0,0,0,0,0,0,901000,,,,23250,316,22818,,0,0,2021-12-08T10:16:47.583926+05:30,75695000,,,,2696328,36033,2647504,50423638,40558399,16158306,56716705.0,186458.0,,0
2021-10-25,TN,1112,14,1341,122700,68696,117762,0,0,0,0,0,0,0,Nagapattinam,17,1,16,,494,1530,0,0,0,0,0,0,0,1614069,,,,20994,337,20456,,805327,267942,2021-12-08T10:16:47.583926+05:30,75695000,,,,2696328,36033,2647504,50423638,40558399,16158306,56716705.0,186458.0,1073269.0,0
2021-10-25,TN,1112,14,1341,122700,68696,117762,0,0,0,0,0,0,0,Namakkal,46,0,69,,1230,2407,0,0,0,0,0,0,0,1721179,,,,51976,496,50925,,976366,371221,2021-12-08T10:16:47.583926+05:30,75695000,,,,2696328,36033,2647504,50423638,40558399,16158306,56716705.0,186458.0,1347587.0,0
2021-10-25,TN,1112,14,1341,122700,68696,117762,0,0,0,0,0,0,0,Nilgiris,19,0,38,,96,1890,0,0,0,0,0,0,0,735071,,,,33461,209,32982,,500469,313749,2021-12-08T10:16:47.583926+05:30,75695000,,,,2696328,36033,2647504,50423638,40558399,16158306,56716705.0,186458.0,814218.0,0
2021-10-25,TN,1112,14,1341,122700,68696,117762,0,0,0,0,0,0,0,Perambalur,3,0,2,,218,1089,0,0,0,0,0,0,0,564511,,,,12044,243,11765,,322783,120140,2021-12-08T10:16:47.583926+05:30,75695000,,,,2696328,36033,2647504,50423638,40558399,16158306,56716705.0,186458.0,442923.0,0
2021-10-25,TN,1112,14,1341,122700,68696,117762,0,0,0,0,0,0,0,Pudukkottai,11,1,10,,613,1156,0,0,0,0,0,0,0,1918725,,,,30119,415,29569,,817242,281734,2021-12-08T10:16:47.583926+05:30,75695000,,,,2696328,36033,2647504,50423638,40558399,16158306,56716705.0,186458.0,1098976.0,0
2021-10-25,TN,1112,14,1341,122700,68696,117762,0,0,0,0,0,0,0,Ramanathapuram,4,0,7,,1202,2868,0,0,0,0,0,0,0,1337560,,,,20543,357,20110,,651914,250458,2021-12-08T10:16:47.583926+05:30,75695000,,,,2696328,36033,2647504,50423638,40558399,16158306,56716705.0,186458.0,902372.0,0
2021-10-25,TN,1112,14,1341,122700,68696,117762,0,0,0,0,0,0,0,Ranipet,8,0,6,,688,927,0,0,0,0,0,0,0,1210277,,,,43375,773,42490,,547162,161234,2021-12-08T10:16:47.583926+05:30,75695000,,,,2696328,36033,2647504,50423638,40558399,16158306,56716705.0,186458.0,708396.0,0
2021-10-25,TN,1112,14,1341,122700,68696,117762,0,0,0,0,0,0,0,Salem,60,1,58,,3425,6041,0,0,0,0,0,0,0,3480008,,,,99526,1683,97235,,1902695,731283,2021-12-08T10:16:47.583926+05:30,75695000,,,,2696328,36033,2647504,50423638,40558399,16158306,56716705.0,186458.0,2633978.0,0
2021-10-25,TN,1112,14,1341,122700,68696,117762,0,0,0,0,0,0,0,Sivaganga,9,0,8,,1253,3684,0,0,0,0,0,0,0,1341250,,,,20122,206,19784,,717093,259336,2021-12-08T10:16:47.583926+05:30,75695000,,,,2696328,36033,2647504,50423638,40558399,16158306,56716705.0,186458.0,976429.0,0
2021-10-25,TN,1112,14,1341,122700,68696,117762,0,0,0,0,0,0,0,Tenkasi,5,0,1,,3660,3505,0,0,0,0,0,0,0,1407627,,,,27337,484,26821,,723607,215228,2021-12-08T10:16:47.583926+05:30,75695000,,,,2696328,36033,2647504,50423638,40558399,16158306,56716705.0,186458.0,938835.0,0
2021-10-25,TN,1112,14,1341,122700,68696,117762,0,0,0,0,0,0,0,Thanjavur,49,1,62,,6846,2043,0,0,0,0,0,0,0,2402781,,,,75091,967,73508,,1182807,457475,2021-12-08T10:16:47.583926+05:30,75695000,,,,2696328,36033,2647504,50423638,40558399,16158306,56716705.0,186458.0,1640282.0,0
2021-10-25,TN,1112,14,1341,122700,68696,117762,0,0,0,0,0,0,0,Theni,2,0,4,,955,2939,0,0,0,0,0,0,0,1243684,,,,43558,520,42999,,649943,274462,2021-12-08T10:16:47.583926+05:30,75695000,,,,2696328,36033,2647504,50423638,40558399,16158306,56716705.0,186458.0,924405.0,0
2021-10-25,TN,1112,14,1341,122700,68696,117762,0,0,0,0,0,0,0,Tirupathur,4,0,12,,1119,2330,0,0,0,0,0,0,0,1111812,,,,29255,625,28546,,531504,182806,2021-12-08T10:16:47.583926+05:30,75695000,,,,2696328,36033,2647504,50423638,40558399,16158306,56716705.0,186458.0,714310.0,0
2021-10-25,TN,1112,14,1341,122700,68696,117762,0,0,0,0,0,0,0,Thiruvallur,38,0,57,,1239,1687,0,0,0,0,0,0,0,3725697,,,,119156,1839,116799,,1022854,347350,2021-12-08T10:16:47.583926+05:30,75695000,,,,2696328,36033,2647504,50423638,40558399,16158306,56716705.0,186458.0,1370204.0,0
2021-10-25,TN,1112,14,1341,122700,68696,117762,0,0,0,0,0,0,0,Tiruvannamalai,18,0,21,,2639,5020,0,0,0,0,0,0,0,2468965,,,,54866,667,53985,,1241273,465161,2021-12-08T10:16:47.583926+05:30,75695000,,,,2696328,36033,2647504,50423638,40558399,16158306,56716705.0,186458.0,1706434.0,0
2021-10-25,TN,1112,14,1341,122700,68696,117762,0,0,0,0,0,0,0,Thiruvarur,31,0,52,,1694,5328,0,0,0,0,0,0,0,1268094,,,,41322,437,40559,,618515,222683,2021-12-08T10:16:47.583926+05:30,75695000,,,,2696328,36033,2647504,50423638,40558399,16158306,56716705.0,186458.0,841198.0,0
