Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinatedNumberForState,deltaVaccinatedForState,cumulativeVaccinatedNumberForDistrict,deltaVaccinatedForDistrict
2021-10-25,OR,433,4,857,61935,133037,140682,0,0,0,0,0,0,0,Angul,4,0,4,,5396,3727,0,0,0,0,0,0,0,1271703,,,,43910,391,43490,,770045,272149,2021-12-08 10:34:48.608031,43671000,2021-12-08 10:34:48.608699,,,1039269,8316,1026774,21647068,25137473,10784100,35921573.0,273719.0,1042194.0,0
2021-10-25,OR,433,4,857,61935,133037,140682,0,0,0,0,0,0,0,Balasore,8,0,18,,17186,8625,0,0,0,0,0,0,0,2317419,,,,40743,293,40327,,1290011,507629,2021-12-08 10:34:48.608031,43671000,2021-12-08 10:34:48.608699,,,1039269,8316,1026774,21647068,25137473,10784100,35921573.0,273719.0,1797640.0,0
2021-10-25,OR,433,4,857,61935,133037,140682,0,0,0,0,0,0,0,Bargarh,6,0,5,,9155,5572,0,0,0,0,0,0,0,1478833,,,,31114,335,30751,,786055,257510,2021-12-08 10:34:48.608031,43671000,2021-12-08 10:34:48.608699,,,1039269,8316,1026774,21647068,25137473,10784100,35921573.0,273719.0,1043565.0,0
2021-10-25,OR,433,4,857,61935,133037,140682,0,0,0,0,0,0,0,Bhadrak,18,0,10,,3139,7582,0,0,0,0,0,0,0,1506522,,,,26454,146,26231,,1015121,337321,2021-12-08 10:34:48.608031,43671000,2021-12-08 10:34:48.608699,,,1039269,8316,1026774,21647068,25137473,10784100,35921573.0,273719.0,1352442.0,0
2021-10-25,OR,433,4,857,61935,133037,140682,0,0,0,0,0,0,0,Balangir,-10,0,9,,3633,7462,0,0,0,0,0,0,0,1648574,,,,23394,126,23251,,944300,267556,2021-12-08 10:34:48.608031,43671000,2021-12-08 10:34:48.608699,,,1039269,8316,1026774,21647068,25137473,10784100,35921573.0,273719.0,1211856.0,0
2021-10-25,OR,433,4,857,61935,133037,140682,0,0,0,0,0,0,0,Boudh,0,0,4,,682,1069,0,0,0,0,0,0,0,439917,,,,12634,112,12488,,252998,76612,2021-12-08 10:34:48.608031,43671000,2021-12-08 10:34:48.608699,,,1039269,8316,1026774,21647068,25137473,10784100,35921573.0,273719.0,329610.0,0
2021-10-25,OR,433,4,857,61935,133037,140682,0,0,0,0,0,0,0,Cuttack,36,0,87,,14461,5474,0,0,0,0,0,0,0,2618708,,,,94430,852,93187,,1373604,662035,2021-12-08 10:34:48.608031,43671000,2021-12-08 10:34:48.608699,,,1039269,8316,1026774,21647068,25137473,10784100,35921573.0,273719.0,2035639.0,0
2021-10-25,OR,433,4,857,61935,133037,140682,0,0,0,0,0,0,0,Deogarh,8,0,1,,381,1334,0,0,0,0,0,0,0,312164,,,,6526,50,6451,,222660,60282,2021-12-08 10:34:48.608031,43671000,2021-12-08 10:34:48.608699,,,1039269,8316,1026774,21647068,25137473,10784100,35921573.0,273719.0,282942.0,0
2021-10-25,OR,433,4,857,61935,133037,140682,0,0,0,0,0,0,0,Dhenkanal,1,0,0,,3843,3701,0,0,0,0,0,0,0,1192948,,,,19850,243,19582,,723947,263233,2021-12-08 10:34:48.608031,43671000,2021-12-08 10:34:48.608699,,,1039269,8316,1026774,21647068,25137473,10784100,35921573.0,273719.0,987180.0,0
2021-10-25,OR,433,4,857,61935,133037,140682,0,0,0,0,0,0,0,Gajapati,0,0,2,,737,1033,0,0,0,0,0,0,0,575880,,,,9646,83,9546,,284930,105626,2021-12-08 10:34:48.608031,43671000,2021-12-08 10:34:48.608699,,,1039269,8316,1026774,21647068,25137473,10784100,35921573.0,273719.0,390556.0,0
