District,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,Date,tested_last_updated_district,last_updated,tested_last_updated_state,State,tested_source_district,tested_source_state,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
Ajmer,37763,410,37350,601460,2021-10-25,2021-10-25 18:00:00+05:30,2021-10-25 18:00:00+05:30,2021-10-25 18:00:00+05:30,Rajasthan,https://twitter.com/dineshkumawat,https://twitter.com/dineshkumawat,954403,8954,945432,14717261
Alwar,59694,307,59387,1196340,2021-10-25,2021-10-25 18:00:00+05:30,2021-10-25 18:00:00+05:30,2021-10-25 18:00:00+05:30,Rajasthan,https://twitter.com/dineshkumawat,https://twitter.com/dineshkumawat,954403,8954,945432,14717261
Banswara,10005,104,9901,214253,2021-10-25,2021-10-25 18:00:00+05:30,2021-10-25 18:00:00+05:30,2021-10-25 18:00:00+05:30,Rajasthan,https://twitter.com/dineshkumawat,https://twitter.com/dineshkumawat,954403,8954,945432,14717261
Baran,11995,61,11934,148552,2021-10-25,2021-10-25 18:00:00+05:30,2021-10-25 18:00:00+05:30,2021-10-25 18:00:00+05:30,Rajasthan,https://twitter.com/dineshkumawat,https://twitter.com/dineshkumawat,954403,8954,945432,14717261
Barmer,15562,185,15377,320678,2021-10-25,2021-10-25 18:00:00+05:30,2021-10-25 18:00:00+05:30,2021-10-25 18:00:00+05:30,Rajasthan,https://twitter.com/dineshkumawat,https://twitter.com/dineshkumawat,954403,8954,945432,14717261
Bharatpur,19601,260,19341,377627,2021-10-25,2021-10-25 18:00:00+05:30,2021-10-25 18:00:00+05:30,2021-10-25 18:00:00+05:30,Rajasthan,https://twitter.com/dineshkumawat,https://twitter.com/dineshkumawat,954403,8954,945432,14717261
Bhilwara,29781,156,29625,373883,2021-10-25,2021-10-25 18:00:00+05:30,2021-10-25 18:00:00+05:30,2021-10-25 18:00:00+05:30,Rajasthan,https://twitter.com/dineshkumawat,https://twitter.com/dineshkumawat,954403,8954,945432,14717261
Bikaner,40337,545,39791,580539,2021-10-25,2021-10-25 18:00:00+05:30,2021-10-25 18:00:00+05:30,2021-10-25 18:00:00+05:30,Rajasthan,https://twitter.com/dineshkumawat,https://twitter.com/dineshkumawat,954403,8954,945432,14717261
Bundi,7967,48,7919,166939,2021-10-25,2021-10-25 18:00:00+05:30,2021-10-25 18:00:00+05:30,2021-10-25 18:00:00+05:30,Rajasthan,https://twitter.com/dineshkumawat,https://twitter.com/dineshkumawat,954403,8954,945432,14717261
Chittorgarh,19809,139,19670,347813,2021-10-25,2021-10-25 18:00:00+05:30,2021-10-25 18:00:00+05:30,2021-10-25 18:00:00+05:30,Rajasthan,https://twitter.com/dineshkumawat,https://twitter.com/dineshkumawat,954403,8954,945432,14717261
