"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","498","110274","336","107825","9","2288","161"
"2","SAS Nagar","900","96589","641","95174","3","1151","264"
"3","Jalandhar","239","78509","179","76879","1","1579","51"
"4","Patiala","350","62381","279","60851","0","1457","73"
"5","Amritsar","149","59546","114","57822","1","1683","41"
"6","Bathinda","128","50996","75","49853","0","1088","55"
"7","Hoshiarpur","93","40933","90","39822","0","1096","15"
"8","Gurdaspur","44","26983","31","26104","1","865","14"
"9","Pathankot","85","24614","76","24109","0","495","10"
"10","Fazilka","54","23450","52","22891","0","545","14"
"11","Muktsar","20","22574","18","22028","0","539","7"
"12","Kapurthala","60","22095","52","21504","1","583","8"
"13","Ropar","63","18001","47","17530","0","455","16"
"14","Ferozepur","36","17935","24","17384","0","537","14"
"15","Mansa","19","17247","9","16845","1","393","9"
"16","Faridkot","75","16858","48","16489","0","338","31"
"17","Sangrur","17","14326","7","13580","0","735","11"
"18","SBS Nagar","29","13431","32","13020","0","409","2"
"19","FG Sahib","61","11895","40","11520","0","354","21"
"20","Moga","16","11004","12","10743","1","255","6"
"21","Tarn Taran","18","10915","12","10517","0","394","4"
"22","Barnala","10","7507","13","7156","0","349","2"
"23","Malerkotla","10","3978","9","3800","0","176","2"
"","Total","2974","762041","2196","743446","18","17764","831"
