"District","Positive Cases 
declared today","Declared Negative 
today","Positive cases 
admitted in 
the district"
"Thiruvananthapuram","179","205","1741"
"Kollam","128","171","249"
"Pathanamthitta","115","170","462"
"Alappuzha","65","98","396"
"Kottayam","187","234","1525"
"Idukki","96","152","1021"
"Ernakulam","260","387","2218"
"Thrissur","88","153","906"
"Palakkad","51","30","144"
"Malappuram","45","87","510"
"Kozhikode","93","174","811"
"Wayanad","50","101","528"
"Kannur","57","83","409"
"Kasaragod","12","10","102"
"Total","1426","2055","11022"
