"Sr 
No","Name of District","Positive Cases Today","No of Active Cases","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged Cases","Recovery Rate (%)","No. of Deaths","COVID-19, Vaccination Status  
(NHM, Haryana)*","","",""
"","","","","","","","","Coverage of Vaccination  
on 31-07-2022","","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd","Precaution 
Dose",""
"1  Gurugram","","201","888","288481","286581","[210] ↑  99.34%","1012","24","76","1407","5593841"
"2","Faridabad","46","356","133157","132060 
[14] ↑","99.18%","741","24","106","682","4138625"
"3  Hisar","","10","129","62878","61573 
[4] ↑","97.92%","1176","10","58","166","2400993"
"4","Sonipat","12","54","59085","58755 
[7] ↑","99.44%","276","4","32","168","2329285"
"5","Karnal","35","236","49292","48459 
[25] ↑","98.31%","597","27","71","57","2434585"
"6","Panchkula","126","450","46827","45959","[102] ↑  98.15%","418","15","21","75","1161998"
"7","Ambala","56","285","41892","41065 
[27] ↑","98.03%","542","10","26","46","2183584"
"8","Panipat","0","57","36405","35674","97.99%","674","7","18","104","2102390"
"9","Sirsa","22","66","33821","33215 
[2] ↑","98.21%","540","38","6","3","1968950"
"10  Rohtak","","20","118","32511","31839 
[19] ↑","97.93%","537","29","86","23","1781926"
"","11  Yamunanagar","35","141","31375","30777 
[18] ↑","98.09%","457 [1] ↑","1","7","11","2011709"
"12  Kurukshetra","","25","159","27380","26820 
[5] ↑","97.95%","401","0","25","64","1600485"
"13  Bhiwani","","3","38","26762","26059 
[4] ↑","97.37%","665","2","145","66","1852930"
"","14  Mahendragarh","7","31","24866","24670 
[7] ↑","99.21%","165","0","2","2","1424819"
"15","Jind","16","92","24805","24171 
[22] ↑","97.44%","542","0","118","52","1758582"
"16  Rewari","","0","7","24753","24522","99.07%","224","0","1","62","1610185"
"17","Jhajjar","8","19","23697","23320 
[8] ↑","98.41%","352","7","17","31","1615827"
"18  Fatehabad","","0","13","20163","19652","97.47%","498","1","6","18","1203080"
"19  Kaithal","","3","116","14656","14169 
[13] ↑","96.68%","371","0","2","11","1836965"
"20  Palwal","","0","4","13552","13377","98.71%","171","10","33","24","1562236"
"","21  Charkhi Dadri","0","20","7551","7386","97.81%","145","11","0","34","930953"
"22  Nuh","","0","2","6139","5998","97.70%","139","8","3","0","1226019"
"HARYANA","","625","3281","1030048","1016101","[487] ↑  98.65%  10643 [1] ↑","","228","859","3106","44729967"
