"Total No. of Sample Taken Today","13498"
"Total No. of Positive Cases Detected Today","348"
"Total Active COVID-19 Patients","1147"
"Total No. of Active Cases under Home Isolation (09-06-2022)","1118"
"Total No. of Samples found Positive till date","1004621"
"Total Positive COVID-19 Patients Recovered / Discharged till date","992830"
"No. of Deaths","10621"
"Total No. of People Vaccinated Today","16634 
(1st Dose: 1356 
2nd Dose: 5793 
Precaution Dose: 9485)"
"Cumulative Coverage of COVID-19 Vaccination - 1st Dose  
(Achieved 100% for 18yrs above population)","23547768 (100%)"
"Cumulative Coverage of COVID-19 Vaccination - 2nd Dose 
(Achieved 86% for 15yrs above population)","19310213 (86%)"
"Cumulative Coverage of COVID-19 Vaccination - Precaution Dose","769186"
"Cumulative Coverage of Total COVID-19 Vaccination","43627167"
"COVID-19 Today (09-06-2022) Positivity Rate","2.51%"
"Recovery Rate","98.83%"
"Fatality Rate","1.06%"
