"Sr 
No","Name of District","Positive Cases Today","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged 
Cases","Recovery Rate (%)","No. of Deaths","No of Active Cases","COVID-19, Vaccination Status  
(NHM, Haryana)","",""
"","","","","","","","","Coverage of 
Vaccination on 
01-12-2021","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd",""
"1","Gurugram","11","181723","180732[8]","99.45","924","67","3059","9376","3866842"
"2","Faridabad","4","99952","99203","99.25","717","32","2354","8452","2740666"
"3","Hisar","1","53999","52860","97.89","1136","3","554","2463","1434855"
"4","Sonepat","1","47144","46885","99.45","254","5","1058","4349","1544825"
"5","Karnal","0","40041","39488","98.62","552","1","888","3498","1590046"
"6","Panipat","0","31153","30515","97.95","638","0","1393","3741","1261071"
"7","Panchkula","5","30837","30432[6]","98.69","379","26","350","1809","798144"
"8","Ambala","0","30150","29641","98.31","509","0","504","4866","1579653"
"9","Sirsa","0","29283","28775","98.27","508","0","1574","4291","1198863"
"10","Rohtak","0","25916","25364","97.87","534","1","1456","3269","1095470"
"11","Yamunanagar","2","24646","24225[2]","98.29","414","7","442","2534","1252700"
"12","Bhiwani","0","22410","21758[1]","97.09","652","0","754","4951","1219601"
"13","Kurukshetra","0","22153","21795[1]","98.38","357","1","449","2047","938084"
"14","Mahindergarh","0","21689","21534","99.29","155","0","551","2097","932927"
"15","Jind","0","21210","20677","97.49","533","0","874","3890","1068990"
"16","Rewari","0","20329","20108","98.91","221","0","815","3579","1051752"
"17","Jhajjar","0","18850","18516","98.23","328","0","614","2718","1092254"
"18","Fatehabad","0","17880","17398","97.30","482","0","271","1424","836129"
"19","Kaithal","0","11247","10899","96.91","346","2","577","3291","970312"
"20","Palwal","0","11028","10875","98.61","153","0","2179","3621","971905"
"21","Charkhi Dadri","0","5079","4939","97.24","139","1","309","1757","670413"
"22","Nuh","0","5014","4891","97.55","123","0","7699","1555","698017"
"Total","","24","771733","761510[18]","98.68","10054","146","28724","79578","28813519"
