"Sr 
No","Name of District","Positive Cases Today","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged 
Cases","Recovery Rate (%)","No. of Deaths","No of Active Cases","COVID-19, Vaccination Status  
(NHM, Haryana)","",""
"","","","","","","","","Coverage of 
Vaccination on 
09-01-2022","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd",""
"1","Gurugram","2338","193018","183619[507]","95.13","926","8473","10232","8702","4508534"
"2","Faridabad","878","103131","99478[26]","96.46","717","2936","9077","6348","3329829"
"3","Hisar","80","54326","52888[3]","97.35","1138","300","3512","2328","2054832"
"4","Sonepat","146","47998","47003[33]","97.93","254","741","3319","2608","1976454"
"5","Karnal","181","40895","39568[17]","96.76","554","773","2196","2034","2060577"
"6","Panipat","97","31471","30552[10]","97.08","638","281","3863","4903","1721929"
"7","Panchkula","418","32666","30837[125]","94.40","382","1447","1012","1245","956073"
"8","Ambala","420","31460","29759[30]","94.59","511","1190","918","535","1875471"
"9","Sirsa","47","29449","28804[2]","97.81","509","136","1193","747","1722557"
"10","Rohtak","158","26404","25380[3]","96.12","534","473","2490","1671","1399586"
"11","Yamunanagar","60","24974","24283[1]","97.23","415","276","850","2616","1563665"
"12","Bhiwani","22","22502","21763","96.72","652","87","2701","1201","1553172"
"13","Kurukshetra","65","22466","21874[15]","97.36","358","234","2350","1185","1235786"
"14","Mahindergarh","11","21740","21545[5]","99.10","156","39","1453","889","1181943"
"15","Jind","42","21356","20687[6]","96.87","533","136","1805","963","1453426"
"16","Rewari","47","20523","20126","98.07","221","176","994","1118","1368886"
"17","Jhajjar","71","19173","18559[16]","96.80","328","280","1939","1919","1360766"
"18","Fatehabad","3","17958","17402","96.90","483","73","2082","1247","1084695"
"19","Kaithal","43","11373","10905","95.88","348","120","2029","851","1450813"
"20","Palwal","11","11081","10881[2]","98.20","153","47","2278","2295","1254218"
"21","Charkhi Dadri","14","5108","4946[3]","96.83","139","23","999","917","756911"
"22","Nuh","14","5079","4899[1]","96.46","123","57","2218","1755","940678"
"Haryana","","5166","794151","765758[805]","96.42","10072","18298","59510","48077","36810801"
