"District Name","New 
Cases","New 
Recoveries","New 
Deaths","Total 
Cases","Total 
Deaths","Total 
Active 
Cases","Number of 
Persons 
Hospitalized"
"East Garo Hills","1","0","0","2082","20","2","0"
"East Jaintia Hills","0","0","0","2676","39","3","0"
"East Khasi Hills","5","3","0","47836","1079","21","16"
"Eastern West Khasi Hills","0","0","0","161","9","1","0"
"North Garo Hills","0","0","0","1918","10","0","0"
"Ri-Bhoi","1","0","0","10566","101","10","1"
"South Garo Hills","0","0","0","1440","16","2","0"
"South West Garo Hills","1","2","0","2260","21","8","0"
"South West Khasi Hills","1","1","0","2719","20","2","0"
"West Garo Hills","1","3","0","11807","84","28","3"
"West Jaintia Hills","0","1","0","7322","141","3","0"
"West Khasi Hills","0","0","0","5670","78","0","0"
"Total","10","10","0","96457","1618","80","20"
